"canonicalName","rank","confidence","matchType","kingdom","phylum","class","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","id","predicted_label"
"Cordia dichotoma","SPECIES",97,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Cordiaceae","Cordia","Cordia dichotoma","6","7707728","220","7226464","4930453","2900865","5341270","415","Presence"
"Asteraceae","FAMILY",92,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA,"6","7707728","220","414","3065",NA,NA,"415","Presence"
"Pestalotiopsis microspora","SPECIES",97,"EXACT","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","Pestalotiopsis","Pestalotiopsis microspora","5","95","320","9705438","9649543","2574855","2574966","415","Presence"
"Microspora","GENUS",94,"EXACT","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Microsporaceae","Microspora",NA,"6","36","329","7429582","8797","2639650",NA,"415","Presence"
"Asteraceae","FAMILY",92,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA,"6","7707728","220","414","3065",NA,NA,"415","Presence"
"Microspora","GENUS",94,"HIGHERRANK","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Microsporaceae","Microspora",NA,"6","36","329","7429582","8797","2639650",NA,"415","Presence"
"Microspora","GENUS",94,"EXACT","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Microsporaceae","Microspora",NA,"6","36","329","7429582","8797","2639650",NA,"415","Presence"
"Phyllanthus niruri","SPECIES",97,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","Phyllanthus","Phyllanthus niruri","6","7707728","220","1414","8807","3061139","5381945","179","Presence"
"Assay","GENUS",94,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Assay",NA,"6","7707728","196","1369","3073","11123265",NA,"179","Presence"
"Assay","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Assay",NA,"6","7707728","196","1369","3073","11123265",NA,"179","Presence"
"Lafoensia pacari","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","Lafoensia","Lafoensia pacari","6","7707728","220","690","6684","7286250","7469490","526","Presence"
"Guazuma ulmifolia","SPECIES",98,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Guazuma","Guazuma ulmifolia","6","7707728","220","941","6685","3152194","3152195","526","Presence"
"Campomanesia xanthocarpa","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","Campomanesia","Campomanesia xanthocarpa","6","7707728","220","690","5014","3180879","3181064","526","Presence"
"Siparuna guianensis","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Laurales","Siparunaceae","Siparuna","Siparuna guianensis","6","7707728","220","407","4893899","7264484","7264535","526","Presence"
"Colletotrichum","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum",NA,"5","95","320","9705517","2461","2563219",NA,"526","Presence"
"Diaporthe","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe",NA,"5","95","320","1289","4146","2566075",NA,"526","Presence"
"Bjerkandera","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Bjerkandera",NA,"5","34","186","1145","7617","2541138",NA,"526","Presence"
"Talaromyces","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces",NA,"5","95","178","1040","3563703","2598197",NA,"526","Presence"
"Cochliobolus","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Cochliobolus",NA,"5","95","183","1047","8315","2615883",NA,"526","Presence"
"Phaeophlebiopsis","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phaeophlebiopsis",NA,"5","34","186","1145","7617","8004736",NA,"526","Presence"
"Curvularia","GENUS",94,"EXACT","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",NA,"5","95","183","1047","8315","2569225",NA,"526","Presence"
"Talaromyces","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces",NA,"5","95","178","1040","3563703","2598197",NA,"526","Presence"
"Huperzia serrata","SPECIES",97,"EXACT","Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Huperzia","Huperzia serrata","6","7707728","245","421","6725","2688450","2688470","195","Presence"
"Derxomyces","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Derxomyces",NA,"5","34","149","1123","9675359","7239011",NA,"195","Presence"
"Lophiostoma","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma",NA,"5","95","183","1047","4819","2568038",NA,"195","Presence"
"Cyphellophora","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora",NA,"5","95","178","1038","7726465","2562461",NA,"195","Presence"
"Serendipita","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita",NA,"5","34","186","531","9760082","7872390",NA,"195","Presence"
"Kurtzmanomyces","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Chionosphaeraceae","Kurtzmanomyces",NA,"5","34","274","1143","3275","2556526",NA,"195","Presence"
"Mycosphaerella","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Mycosphaerella",NA,"5","95","183","9783671","4797","2569921",NA,"195","Presence"
"Conoideocrella","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Conoideocrella",NA,"5","95","320","1290","8417","3449782",NA,"195","Presence"
"Brevicellicium","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Brevicellicium",NA,"5","34","186","529","3276","2523041",NA,"195","Presence"
"Piskurozyma","GENUS",94,"EXACT","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Piskurozyma",NA,"5","34","149","1124","9806922","9255316",NA,"195","Presence"
"Trichomerium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Trichomerium",NA,"5","95","178","1038","7961365","2619946",NA,"195","Presence"
"Derxomyces","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Derxomyces",NA,"5","34","149","1123","9675359","7239011",NA,"195","Presence"
"Trichomerium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Trichomerium",NA,"5","95","178","1038","7961365","2619946",NA,"195","Presence"
"Zataria multiflora","SPECIES",95,"FUZZY","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Zataria","Zataria multiflora","6","7707728","220","408","2497","7308841","3899656","938","Other"
"Mycelium","GENUS",94,"EXACT","Fungi","Basidiomycota",NA,NA,NA,"Mycelium",NA,"5","34",NA,NA,NA,"7238668",NA,"938","Other"
"Sclerocarya birrea","SPECIES",97,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Sclerocarya","Sclerocarya birrea","6","7707728","220","933","2398","3190604","7160810","818","Presence"
"Hypoxis","GENUS",92,"HIGHERRANK","Plantae","Tracheophyta","Liliopsida","Asparagales","Hypoxidaceae","Hypoxis",NA,"6","7707728","196","1169","7686","2740390",NA,"818","Presence"
"Alternaria alternata","SPECIES",99,"EXACT","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria alternata","5","95","183","1047","8315","7388975","2616163","818","Presence"
"Hypoxis","GENUS",92,"HIGHERRANK","Plantae","Tracheophyta","Liliopsida","Asparagales","Hypoxidaceae","Hypoxis",NA,"6","7707728","196","1169","7686","2740390",NA,"818","Presence"
"Epichloe","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Epichloe",NA,"5","95","320","1290","8417","7903719",NA,"118","Presence"
"Hordeum bogdanii","SPECIES",99,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Hordeum","Hordeum bogdanii","6","7707728","196","1369","3073","2706050","4932614","118","Presence"
"Epichloe","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Epichloe",NA,"5","95","320","1290","8417","7903719",NA,"118","Presence"
"Epichloe bromicola","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Epichloe","Epichloe bromicola","5","95","320","1290","8417","7903719","3449875","118","Presence"
"Coffea arabica","SPECIES",98,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Coffea","Coffea arabica","6","7707728","220","412","8798","2895315","2895345","299","Presence"
"Periconia atropurpurea","SPECIES",99,"EXACT","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia atropurpurea","5","95","183","1047","3305389","2558252","2615376","229","Presence"
"Paris polyphylla","SPECIES",99,"EXACT","Plantae","Tracheophyta","Liliopsida","Liliales","Melanthiaceae","Paris","Paris polyphylla","6","7707728","196","1172","7700","2741835","5295929","244","Presence"
"Yunnanensis","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Yunnanensis",NA,"5","95","183","1047","8312","10670053",NA,"244","Presence"
"Fusarium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"5","95","320","1290","4152","2554026",NA,"244","Presence"
"Gliocladiopsis","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gliocladiopsis",NA,"5","95","320","1290","4152","8218230",NA,"244","Presence"
"Gliomastix","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Gliomastix",NA,"5","95","320","1290","8416","2562217",NA,"244","Presence"
"Cylindrocarpon","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocarpon",NA,"5","95","320","1290","4152","2563163",NA,"244","Presence"
"Fusarium","GENUS",94,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"5","95","320","1290","4152","2554026",NA,"244","Presence"
"Gliocladiopsis irregularis","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gliocladiopsis","Gliocladiopsis irregularis","5","95","320","1290","4152","8218230","2563093","244","Presence"
"Plectosphaerella cucumerina","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","Plectosphaerella cucumerina","5","95","320","9705517","5729","2574420","5254402","244","Presence"
"Aspergillus fumigatus","SPECIES",99,"EXACT","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus fumigatus","5","95","178","1040","3563703","8884233","5260010","244","Presence"
"Cylindrocarpon","GENUS",94,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocarpon",NA,"5","95","320","1290","4152","2563163",NA,"244","Presence"
"Pestalotiopsis microspora","SPECIES",97,"EXACT","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","Pestalotiopsis","Pestalotiopsis microspora","5","95","320","9705438","9649543","2574855","2574966","374","Presence"
"Microspora","GENUS",94,"EXACT","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Microsporaceae","Microspora",NA,"6","36","329","7429582","8797","2639650",NA,"374","Presence"
"Candida albicans","SPECIES",99,"EXACT","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Candida","Candida albicans","5","95","182","1281","5893341","2518121","2599597","374","Presence"
"Penicillium mariae-crucis","SPECIES",99,"EXACT","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium mariae-crucis","5","95","178","1040","3563703","7635114","2598030","665","Presence"
"Paeonia lactiflora","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Paeoniaceae","Paeonia","Paeonia lactiflora","6","7707728","220","7219248","6711","3083483","3083486","665","Presence"
"Pestalotiopsis adusta","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","Pestalotiopsis","Pestalotiopsis adusta","5","95","320","9705438","9649543","2574855","2574898","602","Presence"
"Clerodendrum canescens","SPECIES",98,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Clerodendrum","Clerodendrum canescens","6","7707728","220","408","2497","2925347","8014461","602","Presence"
"Pestalotiopsis","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","Pestalotiopsis",NA,"5","95","320","9705438","9649543","2574855",NA,"602","Presence"
"Euphorbia royleana","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia royleana","6","7707728","220","1414","4691","11397237","3065786","768","Presence"
"Hyalodendriella","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hamatocanthoscyphaceae","Hyalodendriella",NA,"5","95","179","1052","10727424","2584416",NA,"709","Presence"
"Nerium oleander","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Nerium","Nerium oleander","6","7707728","220","412","6701","3169755","3169756","91","Presence"
"Apocynaceae","FAMILY",96,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae",NA,NA,"6","7707728","220","412","6701",NA,NA,"91","Presence"
"Chaetomium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium",NA,"5","95","320","1061","8433","2560820",NA,"91","Presence"
"Lamiaceae","FAMILY",94,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae",NA,NA,"6","7707728","220","408","2497",NA,NA,"953","Review"
"Salvia","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Salvia",NA,"6","7707728","220","408","2497","2926981",NA,"953","Review"
"Aloe vera","SPECIES",97,"EXACT","Plantae","Tracheophyta","Liliopsida","Asparagales","Asphodelaceae","Aloe","Aloe vera","6","7707728","196","1169","4259209","2770879","2777724","348","Presence"
"Preussia africana","SPECIES",99,"EXACT","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia africana","5","95","183","1047","4822","6587163","5510661","348","Presence"
"Sporormiaceae","FAMILY",96,"EXACT","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae",NA,NA,"5","95","183","1047","4822",NA,NA,"348","Presence"
"Suaeda","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Suaeda",NA,"6","7707728","220","422","3064","7677792",NA,"649","Presence"
"Alternaria","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"5","95","183","1047","8315","7388975",NA,"649","Presence"
"Ascomycota","PHYLUM",92,"HIGHERRANK","Fungi","Ascomycota",NA,NA,NA,NA,NA,"5","95",NA,NA,NA,NA,NA,"649","Presence"
"Phyla","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","Phyla",NA,"6","7707728","220","408","6689","2925404",NA,"355","Review"
"Mucoromycota","PHYLUM",94,"HIGHERRANK","Fungi","Mucoromycota",NA,NA,NA,NA,NA,"5","12238325",NA,NA,NA,NA,NA,"355","Review"
"Basidiomycota","PHYLUM",96,"EXACT","Fungi","Basidiomycota",NA,NA,NA,NA,NA,"5","34",NA,NA,NA,NA,NA,"355","Review"
"Ascomycota","PHYLUM",94,"HIGHERRANK","Fungi","Ascomycota",NA,NA,NA,NA,NA,"5","95",NA,NA,NA,NA,NA,"355","Review"
"Agaricomycetes","CLASS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA,"5","34","186",NA,NA,NA,NA,"355","Review"
