"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean"
"Relevant","abstract","abstract","0","","rhizophora stylosa griff","fusarium equiseti","stem","present","endophytic","isolated from the stem of rhizophora stylosa griff.","mangrove","","abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract","0","","cicer arietinum (chickpea)","aspergillus niger","seed coat","cotyledons","axis (radicle+plumule)","present","pathogenic","saprotrophic","isolated from seed samples using various methods; pathogens pre-dominant in infected seeds","agricultural fields in pakistan; pakistan; abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.21608/jsrs.2022.275790","moringa oleifera","chaetomium","leaves and stems","present","endophytic","isolated from leaves and stems of moringa oleifera. identification confirmed by 18s rdna-based molecular analysis.","not specified","not specified","abstract-csv","doi_10.21608_jsrs.2022.275790","Abstract"
"Relevant","abstract","abstract","0","10.4238/2015.august.19.3","grapes","not specified","aerial parts and seeds","present","endophytic","isolated from agricultural crops","not specified","america","europe","and asia; abstract-csv; doi_10.4238_2015.august.19.3","Abstract"
"Relevant","abstract","abstract","0","10.1111/j.1439-0434.1988.tb01002.x","vitis vinifera (grapevine)","deuteromycetes","root","present","endophytic","isolated from rootstocks of grafted grapevines","no pathogenic character.","vineyard","not specified","abstract-csv; doi_10.1111_j.1439-0434.1988.tb01002.x","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.molp.2023.12.022","oryza sativa (rice)","fusarium sp.","root","present","endophytic","mutualistic","isolated from rice plants grown in a paddy contaminated with cd. the interaction is regulated by oscal1 dynamics and coordinating multiple plant processes.","paddy field","not specified","abstract-csv; doi_10.1016_j.molp.2023.12.022","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.fbio.2025.106625","ficus hirta vahl.","penicillium janthinellum","roots","stems","leaves","present","endophytic","isolated from various tissues of ficus hirta.","(not provided in text)","(not provided in text); abstract-csv; doi_10.1016_j.fbio.2025.106625","Abstract"
"Relevant","abstract","abstract","0","10.26651/allelo.j/2018-44-2-1169","euphorbia heterophylla l.","diaporthe sp.","leaf","present","pathogenic","isolated from leaves of serjunia lethalis","(not specified in text)","(not specified in text)","abstract-csv","doi_10.26651_allelo.j_2018-44-2-1169","Abstract"
"Relevant","full-text","full-text","14","10.1186/s40168-023-01725-5","digitaria exilis","not specified","seed","present","endophytic","investigated the seed microbiomes of 126 fonio accessions","west africa","not specified","full-text","doi_10.1186_s40168-023-01725-5","Full-Text"
"Relevant","abstract","abstract","0","10.1016/j.cropro.2005.09.001","solanum tuberosum (potato)","phytophthora infestans","leaf","present","pathogenic","the text indicates that phytophthora infestans is a pathogen causing disease on newly developing potato leaves.","agricultural field","netherlands","abstract-csv","doi_10.1016_j.cropro.2005.09.001","Abstract"
"Relevant","abstract","abstract","0","10.1007/s10904-024-03226-w","anaphalis contorta","neocosmospora solani","stem","present","endophytic","isolated from the stem","","","abstract-csv","doi_10.1007_s10904-024-03226-w","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.bcab.2017.11.007","lycopersicon esculentum (tomato","botrytis cinerea","not specified","present","pathogenic","isolated from tomato plants","exhibits antifungal activity against","greenhouse","not specified","abstract-csv; doi_10.1016_j.bcab.2017.11.007","Abstract"
"Relevant","abstract","abstract","0","10.1002/mbo3.1422","alnus viridis ssp. sinuata","cadophora melinii","root nodules","present","endophytic","isolated from root nodules of red and sitka alder trees","not provided","not provided","abstract-csv","doi_10.1002_mbo3.1422","Abstract"
"Relevant","full-text","full-text","7","10.18280/ijdne.190634","theobroma cacao l.","unidentified","","present","biocontrol agent","isolated from soil rhizosphere of cocoa plantations and tested for biocontrol potential against phytophthora palmivora.","tropical rainforest","indonesia","full-text","doi_10.18280_ijdne.190634","Full-Text"
"Relevant","abstract","abstract","0","10.1007/s40011-019-01159-w","zingiber montanum","acaulospora","root","present","endomycorrhizal (symbiotic)","both species have dual colonization of amf and dsef structures in different cortical cells.","shifting cultivation fields","hilly terrains","manipur","northeast india; abstract-csv; doi_10.1007_s40011-019-01159-w","Abstract"
"Relevant","abstract","abstract","0","10.1111/aab.12865","malus domestica (apple)","rhodotorula babjevae","leaf scar tissues","present","endophytic","specific endophytes may contribute to cultivar resistance/tolerance to the pathogen neonectria ditissima.","orchard","uk","abstract-csv","doi_10.1111_aab.12865","Abstract"
"Relevant","abstract","abstract","0","10.13057/biodiv/d260209","heliotropium indicum","n. oryzae","leaf","stem","present","biocontrol agent","isolated from leaves and stems of heliotropium indicum","not specified","indonesia","abstract-csv; doi_10.13057_biodiv_d260209","Abstract"
"Relevant","abstract","abstract","0","10.3732/ajb.94.4.690","persea americana (avocado)","chaetomium elatum","root","present","pathogenic under low light intensity and monoculture","commensalistic in presence of glomus intraradices","intraspecific interactions are important in predicting sporulation rates for both fungi. no interspecific fungal interactions were detected.","","","abstract-csv; doi_10.3732_ajb.94.4.690","Abstract"
"Relevant","abstract","abstract","0","10.1094/pdis-07-10-0542","plantago major l.","impatiens necrotic spot virus","leaf","petiole","stem","present","pathogenic","isolated from necrotic spots on potato leaves. found in ornamental planting near affected greenhouses in weeds.","greenhouse","washington state; usa; abstract-csv; doi_10.1094_pdis-07-10-0542","Abstract"
"Relevant","abstract","abstract","0","10.1111/efp.12737","eucalyptus (not specified)","lasiodiplodia sp.","not specified (presumably plant tissues)","present","pathogenic","isolated from asymptomatic trees and trees damaged by insects and fungal disease","tropical rainforest (north and central sumatra","indonesia)","indonesia","abstract-csv; doi_10.1111_efp.12737","Abstract"
"Relevant","abstract","abstract","0","","kandelia candel","aureobasidium spp.","not specified","present","endophytic","isolated from various mangrove plants","mangrove forests","not specified","abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.7606/j.issn.1000-7601.2022.06.05","zea mays (silage maize)","tm02","root","present","endophytic","isolated from roots of tetraena mongolica","ammopiptanthus mongolicus","potaninia mongolica (xerophytes)","and inoculated into silage maize seedlings. improved drought resistance for specific strains.","arid; china (west ordos); abstract-csv; doi_10.7606_j.issn.1000-7601.2022.06.05","Abstract"
"Relevant","abstract","abstract","0","10.36721/pjps.2022.35.4.reg.1143-1151.1","dendrobium huoshanense","alternaria eichhorniae","(not specified in text)","present","endophytic","isolated from the plant","(not specified in text)","(not specified in text)","abstract-csv","doi_10.36721_pjps.2022.35.4.reg.1143-1151.1","Abstract"
"Relevant","full-text","full-text","12","10.3389/fonc.2020.538865","taxus brevifolia","fusarium solani","not specified","present","endophytic","isolated from taxus celebica","not specified","india","full-text","doi_10.3389_fonc.2020.538865","Full-Text"
"Relevant","abstract","abstract","0","10.3390/plants10040784","aeluropus littoralis","penicillium melinii","rhizosphere","present","plant-growth-promoting (pgp)","isolated from the rhizosphere","hot and dry desert areas","(not provided in text)","abstract-csv","doi_10.3390_plants10040784","Abstract"
"Relevant","abstract","abstract","0","10.3969/j.issn.1674-7895.2017.04.05","aleurites montana (lour.) wils.","thermomyces sy1","root","present","endophytic","isolated from aleurites montana roots","studied under phosphorus deficiency conditions","","","abstract-csv; doi_10.3969_j.issn.1674-7895.2017.04.05","Abstract"
"Relevant","abstract","abstract","0","10.2135/cropsci1995.0011183x003500020041x","festuca arundinacea schreber (tall fescue)",NA,"shoot","root","present","endophytic","modifies productivity and stress tolerance of tall fescue","not specified","not specified","abstract-csv; doi_10.2135_cropsci1995.0011183x003500020041x","Abstract"
"Relevant","abstract","abstract","0","","phyllostachys aurea","sphaerospermum","root vicinity","present","endophytic","isolated from fermented amendment","(not specified in text)","(not specified in text)","abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1007/s13225-012-0153-1","2. picea crassifolia","1 aspergillus nidulans","stems and leaf segments","present","endophytic","isolated from stems and leaf segments of five dominant plant species collected from baima snow mountain (altitude 4","000-4","300 m)","southwest china","mountainous; china; abstract-csv; doi_10.1007_s13225-012-0153-1","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.bioorg.2018.12.008","unknown","lasiodiplodia pseudotheobromae","not specified","present","endophytic","isolated from cell free filtrate of the endophyte.","unknown","unknown","abstract-csv","doi_10.1016_j.bioorg.2018.12.008","Abstract"
"Relevant","abstract","abstract","0","10.3390/plants12132553","vitis vinifera (grapevine)","aspergillus spp.","(not specified in text)","present","pathogenic","fungi are listed as pathogens affecting grape and grapevine.","viticulture","romania","abstract-csv","doi_10.3390_plants12132553","Abstract"
"Relevant","abstract","abstract","0","10.1002/jobm.201900631","dendrobium hookerianum","diaporthe","not specified in text","present","endophytic","pathogenic","isolated from four dendrobium species from meghalaya","india. most pathogenic fungi have switched their lifestyle to asymptomatic endophyte in their host.","not specified in text","meghalaya; india; abstract-csv; doi_10.1002_jobm.201900631","Abstract"
"Relevant","abstract","abstract","0","10.1021/acs.jnatprod.7b00889","phyllanthus glaucus","phomopsis sp tj507a","(not explicitly mentioned","possibly culture medium)","present","endophytic","isolated from the medicinal plant phyllanthus glaucus","(not explicitly mentioned)","(not explicitly mentioned)","abstract-csv; doi_10.1021_acs.jnatprod.7b00889","Abstract"
"Relevant","full-text","full-text","7","10.15835/nbha44110054","castanea mollissima blume","aspergillus niger","fruit","present","pathogenic","isolated from natural infected chestnut fruit collected","not specified","china","full-text","doi_10.15835_nbha44110054","Full-Text"
"Relevant","abstract","abstract","0","10.1016/j.ygeno.2021.11.009","cool season grasses (unspecified species)","epichloe sibling species","(not specified in text)","present","endophytic","mutualistic or pathogenic lifestyles exhibited in cool season grasses","not specified","not specified","abstract-csv","doi_10.1016_j.ygeno.2021.11.009","Abstract"
"Relevant","abstract","abstract","0","10.3390/biom10101412","cymbidium aloifolium","penicillium chrysogenum","not specified","present","endophytic","biocontrol agent","isolated from cymbidium aloifolium","not specified","not specified","abstract-csv; doi_10.3390_biom10101412","Abstract"
"Relevant","full-text","full-text","15","10.1186/1471-2148-13-270","festuca arundinacea schreb.","neotyphodium coenophialum glenn","not specified","present","mutualistic","isolated from continental allohexaploid tall fescue","temperate pasture grasses","not specified","full-text","doi_10.1186_1471-2148-13-270","Full-Text"
"Relevant","abstract","abstract","0","10.1007/s00248-006-9123-z","arizona fescue (festuca arizonica)","neotyphodium","seeds","seedlings","adult plants","present","endophytic","asexual endophytic fungi; seedborne; alters life stage and long-term survival; higher mortality in early life stages; no difference in long-term survival of adult plants.","(not provided in text)","united states; abstract-csv; doi_10.1007_s00248-006-9123-z","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.ijbiomac.2024.136795","clerodendrum infortunatum l.","diaporthe arengae","not specified","present","endophytic","isolated from clerodendrum infortunatum l.","not specified","not specified","abstract-csv","doi_10.1016_j.ijbiomac.2024.136795","Abstract"
"Relevant","abstract","abstract","0","10.11686/cyxb2020026","orychophragmus violaceus","alternaria tenuissima","seeds","leaves","present","pathogenic","isolated from seeds and leaves","(not provided in text)","(not provided in text)","abstract-csv; doi_10.11686_cyxb2020026","Abstract"
"Relevant","abstract","abstract","0","","justicia adathoda l.","curvalaria tuberculata","not specified (likely leaves as they were used for extraction)","present","endophytic","isolated from justicia adathoda and investigated for antibacterial activity","waste lands throughout the plains of india","india","abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.fgb.2007.04.009","pooideae (cool season grasses)","neotyphodium/epichloe complex","not specified","present","endophytic","form mutualistic associations with the host plant","","","abstract-csv","doi_10.1016_j.fgb.2007.04.009","Abstract"
"Relevant","abstract","abstract","0","10.3390/microorganisms11071864","burkea africana","pleurostomophora richardsiae","leaf","present","symbiotic","found predominant in the leaves of b. africana trees and present in the caterpillars.","savannah and woodland in southern africa","tropical african regions as far as nigeria and ethiopia.","multiple (africa)","abstract-csv; doi_10.3390_microorganisms11071864","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.ympev.2018.02.013","micrairoideae","claviceps","ovarial grass","present","pathogenic","specialised parasites with a close relationship with their host plants","evolution influenced by interactions with the new hosts and spread to different continents or host plant radiation.","grasses and sedges","origin in south america","abstract-csv; doi_10.1016_j.ympev.2018.02.013","Abstract"
"Relevant","abstract","abstract","0","10.3390/ijms19010270","salvia miltiorrhiza","alternaria sp a13","root","shoots","leaves","present","plant growth-promoting fungus (pgpf)","isolated from roots","shoots","and leaves of s. miltiorrhiza specimens in various habitats.; henan province; china; china; abstract-csv; doi_10.3390_ijms19010270","Abstract"
"Relevant","abstract","abstract","0","10.1094/pdis-04-23-0759-re","prunus dulcis","pm. krajdenii","wood","present","pathogenic","isolated from wood samples showing gum and internal discoloration in almond trees suffering from almond decline syndrome.","intensive almond plantations","andalusia region (southern spain)","spain","abstract-csv; doi_10.1094_pdis-04-23-0759-re","Abstract"
"Relevant","full-text","full-text","4","10.1127/0029-5035/2005/0080-0173","phragmites australis (common reed)","various","stems and leaf sheaths","present","unknown","isolated from surface-sterilized stems and leaf sheaths in tidal marshes along a salinity gradient.","tidal marsh","belgium","full-text","doi_10.1127_0029-5035_2005_0080-0173","Full-Text"
"Relevant","abstract","abstract","0","10.4061/2011/921312","pasture grasses (various species)","neotyphodium and epichloç genera","not specified","present","endophytic","isolated from pasture grasses","pasture","not specified","abstract-csv","doi_10.4061_2011_921312","Abstract"
"Relevant","abstract","abstract","0","10.1007/s00709-021-01686-2","arbutus unedo l.","trichoderma atroviride","not specified","present","biological control agent","isolated from wild strawberry tree plants","effective against phytophthora cinnamomi in vitro","and shows potential as a biological control agent.","forestry","circum-mediterranean; abstract-csv; doi_10.1007_s00709-021-01686-2","Abstract"
"Relevant","abstract","abstract","0","","mycelia sterilia (potential)","mycelia sterilia","not specified","present","endophytic (for f. poae","p. funiculosum","and mycelia sterilia)","saprotrophic or pathogenic (for a. alternata)","isolated from various host plants","wetland ecosystems of ukrainian polesie; ukraine; abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1080/00275514.2018.1548863","not specified as plant host","aquanectria species (ascomycota","not specified","present","unknown","isolated from rainforest areas of south america (ecuador) and southeast asia (singapore)","rainforest","['ecuador'","'southeast asia']","abstract-csv; doi_10.1080_00275514.2018.1548863","Abstract"
"Relevant","abstract","abstract","0","","azadirhacta indica","alternaria","leaves","present","endophytic","isolated from surface-sterilized leaves","(not provided in text)","(not provided in text)","abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.3969/j.issn.1000-2006.201812001","cyclocarya paliurus (batal.) iljinskaja","alternaria (strain pz06","branches","leaves","roots","bark","present","endophytic","isolated from various plant tissues using the tissue separation method.","[unknown]; [unknown]; abstract-csv; doi_10.3969_j.issn.1000-2006.201812001","Abstract"
"Relevant","abstract","abstract","0","10.4308/hjb.14.4.150","camellia sinensis","diaporthe sp. e","young stem","present","endophytic","isolated from young stem of a tea plant.","not provided","not provided","abstract-csv","doi_10.4308_hjb.14.4.150","Abstract"
"Relevant","abstract","abstract","0","10.11646/phytotaxa.333.2.5","balanophora fungosa","spissiomyces endophytica","tubers","present","endophytic","isolated from tubers.","not specified","thailand","abstract-csv","doi_10.11646_phytotaxa.333.2.5","Abstract"
"Relevant","full-text","full-text","4","10.37427/botcro-2024-001","solanum rostratum dunal.","talaromyces","leaf","stem","root","present","endophytic","isolated from surface-sterilized roots using a culture-dependent method.","desert and oasis","china; full-text; doi_10.37427_botcro-2024-001","Full-Text"
"Relevant","abstract","abstract","0","10.3390/jof9121191","camellia sinensis (tea)","yi-005","not specified","present","endophytic","possible biocontrol agent","isolated from tea plantation","not specified","not specified","abstract-csv; doi_10.3390_jof9121191","Abstract"
"Relevant","full-text","full-text","8","10.33073/pjm-2021-026","aegilops sp.","paenibacillus","leaf","present","endophytic","isolated from surface-sterilized roots","grain plants (poaceae family) in van province","turkey","turkey","full-text; doi_10.33073_pjm-2021-026","Full-Text"
"Relevant","abstract","abstract","0","10.1021/np010022e","sequoia sempervirens","aspergillus parasiticus","tree","present","endophytic","isolated from coast redwood tree","coastal forest","united states","abstract-csv","doi_10.1021_np010022e","Abstract"
"Relevant","full-text","full-text","9","10.1186/s40693-020-00091-y","aristolochia chilensis (bridges ex lindl.)","phialemonium","leaf","root","present","endophytic","isolated from surface-sterilized roots and leaves","arid ecosystem","chile","full-text; doi_10.1186_s40693-020-00091-y","Full-Text"
"Relevant","abstract","abstract","0","10.3390/md18020128","magnaporthe oryzae","penicillium sp.","not specified","present","pathogenic","isolated from the phytopathogen magnaporthe oryzae","marine environment (sea foam)","not specified","abstract-csv","doi_10.3390_md18020128","Abstract"
"Relevant","full-text","full-text","8","10.1007/s13199-012-0194-y","festuca rubra l.","epichloë festucae","seeds","present","endophytic","vertically transmitted fungal endophyte. affected seed viability over long-term storage.","temperate grasslands","spain","full-text","doi_10.1007_s13199-012-0194-y","Full-Text"
"Relevant","full-text","full-text","14","10.1007/s40725-024-00236-2","pinus spp.","diplodia sapinea","shoot","cone","present","endophytic","isolated from asymptomatic pinus tissue.","forest","south africa","full-text; doi_10.1007_s40725-024-00236-2","Full-Text"
"Relevant","abstract","abstract","0","","lolium temulentum","fungal endophyte","not specified","present","endophytic","cause toxicoses in the host plant.","grassland","not specified","abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1007/bf00328425","stipa leucotricha","atkinsonella texensis","not specified","present","pathogenic","systemic infection","observed to lose and gain infection over time","grassy areas","central texas","abstract-csv; doi_10.1007_bf00328425","Abstract"
"Relevant","full-text","full-text","13","10.1038/s41467-024-46792-w","various trees across 15 european countries (not specified at species level)","ectomycorrhizal fungi","root","present","endophytic","mycorrhizal","isolated from forest soil","stimulate plant growth","forest","europe (15 countries); full-text; doi_10.1038_s41467-024-46792-w","Full-Text"
"Relevant","full-text","full-text","18","10.3389/fmicb.2021.522449","glycyrrhiza uralensis fisch.","alternaria longissima","root","present","endophytic","isolated from wild licorice roots grown in the desert regions of northwest china","desert","china","full-text","doi_10.3389_fmicb.2021.522449","Full-Text"
"Relevant","full-text","full-text","20","10.3389/fmicb.2022.967565","quercus liaotungensis","agaricomycetes","soil","present","ectomycorrhizal","investigated changes in soil fungal communities along 160 years of natural revegetation","loess plateau of china","china","full-text","doi_10.3389_fmicb.2022.967565","Full-Text"
"Relevant","abstract","abstract","0","10.1007/s10526-024-10293-y","phaseolus vulgaris l.","beauveria bassiana","leaves","stems","roots","present","endophytic","biocontrol agent (beauveria)","inoculated via foliar","soil and seed treatments to assess endophytic colonization and plant growth.; ; ; abstract-csv; doi_10.1007_s10526-024-10293-y","Abstract"
"Relevant","abstract","abstract","0","10.5943/mycosphere/8/10/11","rhizophora apiculata","neopestalotiopsis sp.","leaves","petioles","aerial roots","present","endophytic","isolated from rhizophora apiculata in thailand","not provided","thailand; abstract-csv; doi_10.5943_mycosphere_8_10_11","Abstract"
"Relevant","abstract","abstract","0","","cymbidium faberi","zygomycetes","roots","present","orchid mycorrhiza (tulasnella sp.)","endophytic (pezizales","helotiales)","isolated from roots of the three orchid species. high diversity in fungal composition.","subtropical forest","transplanted site; china; abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1007/s11557-020-01636-x","triticum boeoticum","allocanariomyces tritici","seed","present","endophytic","isolated from seed of triticum boeoticum","","iran","abstract-csv","doi_10.1007_s11557-020-01636-x","Abstract"
"Relevant","abstract","abstract","0","10.1094/pdis-06-23-1044-re","lolium multiflorum (italian ryegrass)","epicoccum species","leaf","present","pathogenic","endophytic","isolated from symptomatic leaf samples. pathogenicity tests showed that e. endophyticum","e. endololii","and epicoccum sp.1 were nonpathogenic to italian ryegrass","confirmed as endophytes in this study; the other six species could infect italian ryegrass and cause leaf lesions to different degrees.; agricultural (forage; hay; silage); china (sichuan; yunnan; chongqing; guizhou); abstract-csv; doi_10.1094_pdis-06-23-1044-re","Abstract"
"Relevant","abstract","abstract","0","","helianthus annuus (sunflower)","penicillium duclauxi","root","stem","leaves","present","endophytic","isolated from various plant tissues of sunflower and showed inhibition of root rotting fungi in dual culture plate assay and screen house experiments.","(not provided)","(not provided); abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.11686/cyxb2020026","orychophragmus violaceus","ulocladium sp.","seeds","leaves","present","pathogenic","isolated from seeds and leaves","(not provided in text)","(not provided in text)","abstract-csv; doi_10.11686_cyxb2020026","Abstract"
"Relevant","abstract","abstract","0","10.1111/j.1469-8137.1994.tb04265.x","dactylis glomerata l.","glomus mosseae gerd. and trappe","not specified in text","present","mycorrhizal","inoculated plants developed better than non-inoculated controls","with glomus aggregatum showing a particularly positive effect in a field experiment.","mediterranean semi-arid","spain (south-east)","abstract-csv; doi_10.1111_j.1469-8137.1994.tb04265.x","Abstract"
"Relevant","abstract","abstract","0","10.1111/j.1469-8137.1986.tb00598.x","allium cepa","glomus caledonium","root","present","mycorrhizal","inoculated separately on to onion plants in soils of low p status amended with five rates of ca(h2po4)2.cntdot.h2o. effectiveness varied with different endophytes.","","","abstract-csv","doi_10.1111_j.1469-8137.1986.tb00598.x","Abstract"
"Relevant","abstract","abstract","0","","taxus baccata","various genera detected in the text","woody branches","shoots and leaves","present","endophytic","isolated from internal tissues of woody branches","shoots and leaves","central-northern italy","italy; abstract-csv; doi_nan","Abstract"
"Relevant","full-text","full-text","5","10.7324/japs.2018.8207","sonneratia alba sm","trichoderma koningiopsis","leaf","present","endophytic","isolated from leaf of sonneratia alba sm","coastal","indonesia","full-text","doi_10.7324_japs.2018.8207","Full-Text"
"Relevant","abstract","abstract","0","","lageneria siceraria (mol.) standl.","macrophomina phaseolina","seeds","present","","isolated from infested plants growing in different parts of turkey using agar plate and blotter method.","agricultural field","turkey","abstract-csv","doi_nan","Abstract"
"Relevant","full-text","full-text","13","10.1186/s41938-021-00470-x","zea mays l.","jgbyu","leaves","shoots","roots","present","endophytic","isolated from surface-sterilized roots","not specified","indonesia; full-text; doi_10.1186_s41938-021-00470-x","Full-Text"
"Relevant","abstract","abstract","0","10.30843/nzpp.2015.68.5816","rosa spp.","powdery mildew","leaf","bloom","present","pathogenic","disease affecting glasshouse-grown roses. control is evaluated using emulsions.","greenhouse","netherlands","abstract-csv; doi_10.30843_nzpp.2015.68.5816","Abstract"
"Relevant","full-text","full-text","9","10.1590/s1516-8913201402043","tall fescue","epichloe","internal tissues","leaf","root","glumes","present","endophytic","isolated from internal tissues of plants","forms symbiotic association; no overt negative effect on plant; tropical forests; coniferous forests; desert; france; brazil; colombia; germany; north america; full-text; doi_10.1590_s1516-8913201402043","Full-Text"
"Relevant","abstract","abstract","0","10.1007/s13225-012-0198-1","not specified)","diversiseta","(not specified","but isolates collected from living and dead plant material)","present","pathogenic","isolated from various host plants from china","(not specified)","china","abstract-csv; doi_10.1007_s13225-012-0198-1","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.soilbio.2017.05.007","ammophila arenaria","potentially pathogenic fungi","roots","present","pathogenic","associated with roots","appeared healthy but many dominant fungi recovered are potentially pathogenic.","coastal dunes","['united kingdom'","'australia'; 'new zealand']; abstract-csv; doi_10.1016_j.soilbio.2017.05.007","Abstract"
