"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/list.csv?datainfo&rowcount&base_name=Plantae&variant=all&show=class"
"Access Time","Thu 2025-06-26 21:48:33 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Plantae"
"","variant","all"
"","show","class"
"Elapsed Time","2.14"
"Records Found","32837"
"Records Returned","32837"
"Records:"
"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon"
"54311","151418","txn","BV","subkingdom","Plantae","obsolete variant of","54311","kingdom","Plantae","1","35418","extant","141850","","","","","",""
"54311","54311","txn","B","kingdom","Plantae","","54311","kingdom","Plantae","1","35418","extant","141850","","","","","",""
"411841","411841","txn","","genus","Palaeoipomoea","","411841","genus","Palaeoipomoea","54311","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Palaeoipomoea","Palaeoipomoea fukuiensis"
"411842","411842","txn","","species","Palaeoipomoea fukuiensis","","411842","species","Palaeoipomoea fukuiensis","411841","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Palaeoipomoea",""
"276830","276830","txn","","genus","Trileites","","276830","genus","Trileites","54311","48025","extinct","78","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Trileites",""
"510182","510182","txn","","species","Trileites crassitectatus","","510182","species","Trileites crassitectatus","276830","92368","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Trileites",""
"510179","510179","txn","","species","Trileites flexuosus","","510179","species","Trileites flexuosus","276830","92368","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Trileites",""
"277173","277173","txn","","species","Trileites murrayi","","277173","species","Trileites murrayi","276830","48061","extinct","9","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Trileites",""
"411195","411195","txn","","genus","Murandavia","","411195","genus","Murandavia","54311","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Murandavia","Murandavia amurica"
"411196","411196","txn","","species","Murandavia amurica","","411196","species","Murandavia amurica","411195","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Murandavia",""
"408078","408078","txn","","genus","Entostromium","","408078","genus","Entostromium","54311","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Entostromium",""
"498694","498694","txn","","genus","Verbesina","","498694","genus","Verbesina","54311","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Verbesina","Verbesina alata"
"498700","498700","txn","","species","Verbesina acmella","","498700","species","Verbesina acmella","498694","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Verbesina",""
"498697","498697","txn","","species","Verbesina virginica","","498697","species","Verbesina virginica","498694","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Verbesina",""
"498704","498704","txn","","species","Verbesina prostrata","","498704","species","Verbesina prostrata","498694","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Verbesina",""
"498696","498696","txn","","species","Verbesina chinensis","","498696","species","Verbesina chinensis","498694","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Verbesina",""
"498703","498703","txn","","species","Verbesina alba","","498703","species","Verbesina alba","498694","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Verbesina",""
"498699","498699","txn","","species","Verbesina pseudoacmella","","498699","species","Verbesina pseudoacmella","498694","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Verbesina",""
"498705","498705","txn","","species","Verbesina calendulacea","","498705","species","Verbesina calendulacea","498694","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Verbesina",""
"498702","498702","txn","","species","Verbesina lavenia","","498702","species","Verbesina lavenia","498694","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Verbesina",""
"498695","498695","txn","","species","Verbesina alata","","498695","species","Verbesina alata","498694","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Verbesina",""
"456006","456006","txn","","genus","Kosankeisporites","","456006","genus","Kosankeisporites","54311","80975","extinct","4","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Kosankeisporites",""
"490695","490695","txn","","genus","Coffea","","490695","genus","Coffea","54311","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Coffea","Coffea arabica"
"490696","490696","txn","","species","Coffea arabica","","490696","species","Coffea arabica","490695","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Coffea",""
"416449","416449","txn","","genus","Walikalia","","416449","genus","Walikalia","54311","71641","extinct","4","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Walikalia","Walikalia cahenii"
"416450","416450","txn","","species","Walikalia cahenii","","416450","species","Walikalia cahenii","416449","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Walikalia",""
"494193","494193","txn","","genus","Lythrum","","494193","genus","Lythrum","54311","8628","extant","2","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Lythrum","Lythrum salicaria"
"494195","494195","txn","","species","Lythrum verticillatum","","494195","species","Lythrum verticillatum","494193","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Lythrum",""
"494199","494199","txn","","species","Lythrum hyhmifolia","","494199","species","Lythrum hyhmifolia","494193","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Lythrum",""
"494198","494198","txn","","species","Lythrum hyssopifolia","","494198","species","Lythrum hyssopifolia","494193","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Lythrum",""
"494200","494200","txn","","species","Lythrum virgatum","","494200","species","Lythrum virgatum","494193","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Lythrum",""
"494197","494197","txn","","species","Lythrum lineare","","494197","species","Lythrum lineare","494193","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Lythrum",""
"494196","494196","txn","","species","Lythrum petiolatum","","494196","species","Lythrum petiolatum","494193","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Lythrum",""
"494194","494194","txn","","species","Lythrum salicaria","","494194","species","Lythrum salicaria","494193","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Lythrum",""
"404990","404990","txn","","genus","Ammatophyllum","","404990","genus","Ammatophyllum","54311","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Ammatophyllum","Ammatophyllum uninervium"
"404991","404991","txn","","species","Ammatophyllum uninervium","","404991","species","Ammatophyllum uninervium","404990","71641","extinct","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Ammatophyllum",""
"496786","496786","txn","","genus","Connarus","","496786","genus","Connarus","54311","8628","extant","2","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Connarus","Connarus monocarpus"
"496787","496787","txn","","species","Connarus monocarpus","","496787","species","Connarus monocarpus","496786","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Connarus",""
"458455","458455","txn","","genus","Quadrisporites","","458455","genus","Quadrisporites","54311","80975","extinct","2","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Quadrisporites",""
"457371","457371","txn","","genus","Parasaccites","","457371","genus","Parasaccites","54311","80975","extinct","25","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Parasaccites","Parasaccites korbaensis"
"457373","457373","txn","","species","Parasaccites bilateralis","","457373","species","Parasaccites bilateralis","457371","80975","extinct","4","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Parasaccites",""
