"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean"
"Relevant","full-text","full-text",16,"10.19136/era.a11n2.3992","cucumis sativus l.","aspergillus flavus","not specified in the text","present","biocontrol agent","isolated from different organs of the plants; subjected to dual confrontations and antibiotic tests","tropical","mexico","full-text","doi_10.19136_era.a11n2.3992","Full-Text"
"Relevant","abstract","abstract",0,"10.1021/acs.jnatprod.6b00550","thea sinensis (tea plant)","pestalotiopsis theae","solid substrate fermentation (indirectly isolated from plant endophyte)","present","endophytic","isolated from solid substrate fermentation of the tea plant endophyte","not specified","not specified","abstract-csv","doi_10.1021_acs.jnatprod.6b00550","Abstract"
"Relevant","full-text","full-text",12,"10.1038/s41598-020-60350-6","c. sinensis (l.) osbeck","curtobacterium luteum","leaf","present","endophytic","isolated from leaves of healthy and asymptomatic/symptomatic plants with huanglongbing","citrus growing regions in china","china","full-text","doi_10.1038_s41598-020-60350-6","Full-Text"
"Relevant","abstract","abstract",0,"10.1016/j.scitotenv.2018.08.350","geranium sylvaticum","arbuscular mycorrhizal fungi : funneliformis constrictum","root","present","mycorrhizal","arbuscular mycorrhiza formation; varying colonization rates between species","temperate forests","poland","abstract-csv","doi_10.1016_j.scitotenv.2018.08.350","Abstract"
"Relevant","abstract","abstract",0,"10.3390/microorganisms8081145","not specified (soil microbiome study)","pseudogymnoascus","soil","present","unknown","isolated from glacier soil after retreat; antarctic","king george island","fildes peninsula","abstract-csv","doi_10.3390_microorganisms8081145","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.biocontrol.2025.105810","triticum aestivum (wheat)","corynascella humicola","root","present","endophytic","with potential for plant growth promotion (pgp) and induced systemic resistance (isr); isolated from crabgrass roots. confers growth promotion and induced systemic resistance in barley; rice; and wheat.","(not specified in the text)","(not specified in the text)","abstract-csv","doi_10.1016_j.biocontrol.2025.105810","Abstract"
"Relevant","full-text","full-text",14,"10.1007/s00248-022-02140-3","sorghum bicolor",NA,"leaf","present","unknown","fungi are found in leaves infested with spodoptera frugiperda; as well as uninfested leaves and soil. there is evidence of potential exchange between larvae and the infested leaves.","agricultural field","usa (kansas)","full-text","doi_10.1007_s00248-022-02140-3","Full-Text"
"Relevant","abstract","abstract",0,"10.1002/pca.1338","taxus baccata l.","endophytic fungi","not specified","present","endophytic","taxanes extracted from yew trees (taxus baccata l.) and cell cultures; implying endophytic association.","not specified","not specified","abstract-csv","doi_10.1002_pca.1338","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.plaphy.2018.06.011","vitis vinifera l. (concord grape)","acidobacteriales","leaf","present","unknown (potentially saprotrophic)","associated with grapevines demonstrating varying degrees of visual chlorosis symptoms. correlated with leaf magnesium concentrations and chlorosis rank.","vineyard","(not provided in text)","abstract-csv","doi_10.1016_j.plaphy.2018.06.011","Abstract"
"Relevant","abstract","abstract",0,"10.1016/j.indcrop.2021.113437","catharanthus roseus","strain: catdlf5","leaf","present","endophytic","improves growth and terpenoid indole alkaloids production in c. roseus cultivars.","field","(not provided in the text)","abstract-csv","doi_10.1016_j.indcrop.2021.113437","Abstract"
"Relevant","abstract","abstract",0,"10.1007/s00572-016-0699-y","populus sp.","p06)","root","present","endophytic","isolated from poplar roots; colonised root tissues of poplar plantlets; and formed microsclerotia-like structures.","metal-contaminated phytoremediation site","(not provided in text)","abstract-csv","doi_10.1007_s00572-016-0699-y","Abstract"
"Relevant","full-text","full-text",5,"10.21931/rb/2022.07.03.13","pinus oocarpa schiede ex schltdl","p. microspora","pine needles","present","endophytic","isolated from pine trees showing change in needle color; resin exudation; and vascular damage.","tropical forest ecosystems","honduras","full-text","doi_10.21931_rb_2022.07.03.13","Full-Text"
"Relevant","full-text","full-text",9,"10.1590/1413-7054202246007322","phaseolus vulgaris l.","induratia species","seed","present","endophytic","plant growth promoting; inoculated in seeds","agricultural","brazil","full-text","doi_10.1590_1413-7054202246007322","Full-Text"
"Relevant","abstract","abstract",0,"10.1111/jam.13214","capsicum annuum","not applicable","fruit tissue","present","endophytic","isolated from surface-sterilized fruit tissue","not provided","not provided","abstract-csv","doi_10.1111_jam.13214","Abstract"
"Relevant","abstract","abstract",0,"10.1080/02757540.2015.1135907","brassica chinensis","sirodesmium spp.","internal (endophytic)","present","endophytic","isolated from pesticide-treated and untreated samples","not specified","china","abstract-csv","doi_10.1080_02757540.2015.1135907","Abstract"
"Relevant","abstract","abstract",0,"10.3390/insects11090591","solanum lycopersicum l.","beauveria bassiana","not specified in text","present","biocontrol agent","inoculated in the substrate; provides biocontrol against whiteflies and promotes tomato growth","greenhouse","not specified in text","abstract-csv","doi_10.3390_insects11090591","Abstract"
"Relevant","abstract","abstract",0,"10.1094/phyto-11-14-0334-fi","cucurbitaceae","pseudoperonospora cubensis",NA,"present","pathogenic","infects plant species in the family cucurbitaceae",NA,NA,"abstract-csv","doi_10.1094_phyto-11-14-0334-fi","Abstract"
"Relevant","abstract","abstract",0,"10.1017/s0021859600027428","phaseolus vulgaris (beans)","fusarium solani fsp phaseoli","seeds","present","pathogenic","causing foot and root-rot","(not provided in text)","(not provided in text)","abstract-csv","doi_10.1017_s0021859600027428","Abstract"
"Relevant","abstract","abstract",0,"10.3390/jof6030123","paullinia cupana var. sorbilis","nigrospora","leaves and seeds","present","endophytic (based on isolation from plant tissue)","isolated from leaves and seeds of anthracnose-resistant and susceptible guarana plants produced in maues and manaus; brazil","amazon rainforest","brazil","abstract-csv","doi_10.3390_jof6030123","Abstract"
