relevance,doc_type_ai,doc_type_pages,page_count,doi,plant_host,fungal_taxon,tissue,presence_absence,primary_guild,interaction_notes,biome,country,data_source,source_file
Relevant,Abstract,Abstract,0,10.1111/j.1469-8137.1986.tb00598.x,Allium cepa,'Glomus macrocarpum',root,Present,Mycorrhizal,Inoculated separately on to onion plants in soils of low P status amended with five rates of Ca(H2PO4)2.cntdot.H2O. Effectiveness varied with different endophytes.,,,Abstract-CSV,DOI_10.1111_j.1469-8137.1986.tb00598.x
Relevant,Abstract,Abstract,0,10.1039/d3ra03242f,Unknown,Lasiodiplodia chiangraiensis,Submerged cultures,Present,Endophytic and/or Pathogenic,Isolated from submerged cultures; potential biotechnological applications,Unknown,Unknown,Abstract-CSV,DOI_10.1039_d3ra03242f
Relevant,Abstract,Abstract,0,10.1016/j.ijbiomac.2024.132090,Echinacea purpurea,Simplicillium sinense EFF1,root,Present,Endophytic,Isolated from PhGs-producing plants; exhibits the ability to de-rhamnosize isoacteoside to generate calceorioside B.,(Not provided in text),(Not provided in text),Abstract-CSV,DOI_10.1016_j.ijbiomac.2024.132090
Relevant,Abstract,Abstract,0,10.1017/S0953756205002753,Cylindropuntia fulgida,Alternaria sp.,Not specified,Present,Endophytic,Isolated from cactus species in Arizona,Desert,United States,Abstract-CSV,DOI_10.1017_S0953756205002753
Relevant,Abstract,Abstract,0,10.3390/molecules26051394,Triticum aestivum (Common Wheat) and Triticum spelta (Spelt Wheat),Unknown (Endophytic Bacteria),Wheat tissues,Present,Endophytic,Isolated from different tissues of the tested wheat types; capable of Indole-related Compounds (IRCs) production; including Indole-3-acetic acid (IAA); which supports plant development.,Not specified,Not specified,Abstract-CSV,DOI_10.3390_molecules26051394
Relevant,Full-Text,Full-Text,11,10.1055/s-0042-103496,Carpopeltis cornea,Phoma tropica,Not specified,Present,Endophytic,Isolated from surface-sterilized samples of the respective algae; Marine; Ulsan City; Korea,Portugal,Fehmarn island in the Baltic Sea,Full-Text,DOI_10.1055_s-0042-103496
Relevant,Full-Text,Full-Text,15,10.1038/s41598-025-98978-x,2011,Exophiala mesophila,seaweed,Present,Endophytic,Isolated from seaweed hosts,Marine,Portugal,Full-Text,DOI_10.1038_s41598-025-98978-x
Relevant,Full-Text,Abstract,0,10.5846/stxb202007071760,Larix gmelinii,Basidiomycota and Ascomycetes (endophyte fungi,Rhizosphere soil,Present,Endophytic,Saprotrophic; Mycorrhizal; Isolated from rhizosphere soil of plants disturbed by severe fire; Forest ecosystem; China (Great Xing?an Mountain,Genhe,Inner Mongolia Autonomous Region),Abstract-CSV,DOI_10.5846_stxb202007071760
Relevant,Abstract,Abstract,0,10.1093/femsle/fny208,Arthrocnemum macrostachyum,Pseudomonas zhaodongensis,Endosphere,Present,Endophytic,Isolated from Arthrocnemum macrostachyum using standard non-saline media,Halophytic,,Abstract-CSV,DOI_10.1093_femsle_fny208
Relevant,Abstract,Abstract,0,10.3390/md20030177,Laurencia obtusa,Trichoderma longibrachiatum EN-586,(Not specified in the text),Present,Endophytic,Isolated from the marine red alga Laurencia obtusa,Marine,(Not specified in the text),Abstract-CSV,DOI_10.3390_md20030177
