"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean"
"Relevant","abstract","abstract","0","10.1016/j.cropro.2019.104947","malus domestica 'pink lady'","alternaria alternata f.sp. mali","fruit","present","pathogenic","causing fruit and calyx rot","apple orchard","israel","abstract-csv","doi_10.1016_j.cropro.2019.104947","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.heliyon.2021.e07926","zea mays (corn)","jrp 7 mrs","rhizosphere zone","stem","leaf","present; biocontrol agent; isolated from soil collected at rhizosphere and rhizoplane (rhizospheric fungi); and from surface-sterilized leaves and stem tissues (endophytic fungi)","tropical","indonesia","abstract-csv","doi_10.1016_j.heliyon.2021.e07926","Abstract"
"Relevant","abstract","abstract","0","10.1094/pdis.1998.82.2.264a","carya illinoinensis (pecan)","curvularia","rachis","leaf","present","unknown (pathogenic association suggested); associated with a type of leaf scorch characterized by necrosis and a dark brown to purplish band of tissue at the interface of the necrotic and green leaflet tissue.","","united states","abstract-csv","doi_10.1094_pdis.1998.82.2.264a","Abstract"
"Relevant","abstract","abstract","0","10.1111/j.1744-7348.1992.tb03420.x","mangifera indica (mango)","alternaria alternata","['stem tissue'","'inflorescence'","'pedicel']","present; pathogenic; endophytic; saprotrophic; isolated from stem tissue prior to inflorescence emergence; colonization of inflorescence and pedicel; primary route of infection for fruit which develop stem end rot during ripening","not specified","not specified","abstract-csv","doi_10.1111_j.1744-7348.1992.tb03420.x","Abstract"
"Relevant","full-text","full-text","14","10.3389/fpls.2016.00625","mostly dicotyledonous)","botrytis cinerea sensu lato","interior of multiple tissues in apparently healthy hosts","present","endophytic (cryptic infections)","infection frequencies reached 50% of samples or more; but were commonly less. cryptic infections were rare or absent in some plant species. sporulation and visible damage occurred only when infected tissues were stressed; or became mature or senescent.; not specified","uk","netherlands","full-text","doi_10.3389_fpls.2016.00625","Full-Text"
"Relevant","abstract","abstract","0","10.30491/jabr.2024.421027.1682","zygophyllum coccineum","aspergillus flavus","not specified","present","endophytic","isolated from xerophytic plants collected from egypt west deserts","desert","egypt","abstract-csv","doi_10.30491_jabr.2024.421027.1682","Abstract"
"Relevant","full-text","full-text","75","10.3897/mycokeys.117.137112","piper nigrum l.","colletotrichum sp. nov.","leaf","fruit","present","pathogenic; isolated from leaf spots and rotting fruits of black pepper","tropical","thailand","full-text","doi_10.3897_mycokeys.117.137112","Full-Text"
"Relevant","full-text","full-text","19","10.1371/journal.pone.0146983","potato","hypoxylon sp. ec38","unspecified","present","endophytic","established endosymbiotic relationship; continual interactions between host and fungi using a variety of signals; including exchange of secondary metabolites.","unspecified","united states","full-text","doi_10.1371_journal.pone.0146983","Full-Text"
"Relevant","full-text","full-text","6","10.4308/hjb.27.3.209","garcinia atroviridis","endophytic fungi f14","leaf","petiole","branch","fruit; present; biocontrol agent; isolated from surface-sterilized roots and showed antagonistic activity against colletotrichum gloeosporioides with 67.38% percentage inhibition radial growth (pirg)","not specified","malaysia","full-text","doi_10.4308_hjb.27.3.209","Full-Text"
"Relevant","abstract","abstract","0","10.1080/14786419.2012.708659","j. agardh","var. boedijnii","(not specified in text)","present","endophytic","isolated from surface-sterilized red marine alga","marine","(not specified in text)","abstract-csv","doi_10.1080_14786419.2012.708659","Abstract"
"Relevant","abstract","abstract","0","10.1039/d3ra03242f","unknown","lasiodiplodia chiangraiensis","submerged cultures","present","endophytic and/or pathogenic","isolated from submerged cultures; potential biotechnological applications","unknown","unknown","abstract-csv","doi_10.1039_d3ra03242f","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.biocontrol.2020.104511","'25r34'","simplicillium lamellicola","leaves","roots (implied from collection of tissues)","present","biocontrol agents; isolated from field-grown wheat tissues; showed antagonism against fusarium graminearum; waitea circinata; and microdochium majus; tested for pathogenicity on wheat leaves; found to be non-pathogenic; inhibited the pathogenicity of wheat pathogens","agricultural field","canada (ontario)","abstract-csv","doi_10.1016_j.biocontrol.2020.104511","Abstract"
"Relevant","full-text","full-text","9","10.17581/bp.2018.07202","orthilia secunda","mycena sp.","roots","rhizomes","present","mycorrhizal; investigated by sequencing nrits from roots and rhizomes","forest","russia","full-text","doi_10.17581_bp.2018.07202","Full-Text"
"Relevant","abstract","abstract","0","10.1002/mrc.2748","corallina officinalis","aspergillus flavus","not specified","present","endophytic","isolated from the marine red alga corallina officinalis","marine","not specified","abstract-csv","doi_10.1002_mrc.2748","Abstract"
"Relevant","abstract","abstract","0","10.3390/microorganisms8070997","festuca arundinacea (tall fescue)","epichloe coenophiala","root","present","endophytic","infected root helps deter root-feeding scarab insect costelytra givenica by producing ligne alkaloids.; pasture ecosystem","new zealand","new zealand","abstract-csv","doi_10.3390_microorganisms8070997","Abstract"
