iso_a3,country_name,study_count,centroid_lat,centroid_lon,gdp_year,gdp_current_usd,gdp_log10
CHN,China,1659,36.6914067431831,103.378049926917,2024,18743803170827.2,13.272857715075011
IND,India,921,22.7766431765647,79.5639109452937,2024,3909891533858.08,12.592164709595279
USA,United States,857,44.743731596937,-103.629562816976,2024,28750956130731.2,13.458652291995941
BRA,Brazil,502,-10.6390487664627,-53.2157339216592,2024,2185821648943.86,12.339614723011916
EGY,Egypt,305,26.4598028985904,29.8782696549861,2024,389059911003.566,11.590016483111897
NER,Niger,261,17.4120079568521,9.33161006984645,2024,19876128485.7857,10.298331795503932
CAN,Canada,223,60.4177669836648,-96.5486267196115,2024,2243636826633.76,12.350952559824094
IDN,Indonesia,214,-2.26406783400371,117.179730380946,2024,1396300098190.97,12.144978768560598
ITA,Italy,186,42.715684218698,12.2010490785751,2024,2380825077243.59,12.376727488316035
AUS,Australia,184,-25.7641815536472,134.303829130178,2024,1757022451652.83,12.244777311049441
THA,Thailand,180,15.0825849558476,101.00064850264,2024,526517658841.684,11.721412941540292
KOR,Korea,166,36.3733672310237,127.834771144178,2024,1875388209406.8,12.273091181264805
ARG,Argentina,161,-34.6839876700152,-64.7626148959144,2024,638365455340.04,11.805069377463727
MEX,Mexico,152,23.9241551716911,-102.170985309285,2024,1856365616165.94,12.268663515765258
ESP,Spain,143,40.207654001437,-3.70353622836341,2024,1725671652742.19,12.236958165094311
IRN,Iran,140,32.5273358185792,54.44087595747,2024,475252089215.416,11.676924034706827
NZL,New Zealand,133,-41.7023337343558,172.921343851446,2024,260172385097.616,11.415261198312523
JPN,Japan,129,37.4608804770672,137.660006270752,2024,4027597523550.58,12.605046065150125
PAK,Pakistan,127,29.8839453512329,69.1684395577689,2024,371570000121.266,11.57004064259895
DEU,Germany,118,51.0505772002016,10.3643715937789,2024,4685592577804.69,12.670764523077906
POL,Poland,116,52.111835614271,19.4197062974278,2024,917767106146.761,11.96273248801221
SAU,Saudi Arabia,115,24.086557980863,44.6631748161087,2024,1239804533333.33,12.093353220012046
ZAF,South Africa,111,-28.9742085192937,25.1934382246982,2024,401144998373.585,11.603301381625652
MYS,Malaysia,110,3.81114043138937,109.699342974294,2024,422227005428.688,11.62554600711845
BGD,Bangladesh,74,23.8606661358576,90.2471041168013,2024,450119432068.852,11.653327762234428
CHL,Chile,73,-36.0762464816833,-71.0561908529319,2024,330267137371.592,11.518865362161858
ATA,Antarctica,70,-84.9385929486308,82.0706689718262,NA,NA,NA
NOR,Norway,70,66.3603229362803,12.7458966089358,2024,483592648313.301,11.684479689994287
FRA,France,65,42.9551401793354,-6.67614110293884,2024,3160442622465.08,12.49974791016038
TWN,Taiwan,64,23.7502041987188,120.951465589739,NA,NA,NA
GBR,United Kingdom,63,54.011649752434,-2.75814206017949,2024,3686033044482.13,12.566559224255794
LKA,Sri Lanka,59,7.61103817958453,80.7016320198589,2024,98963185509.6499,10.995473666279482
NGA,Nigeria,56,9.59094557000066,8.07958685332263,2024,252261880141.151,11.401851628261783
MAR,Morocco,53,29.7668591307467,-8.7278477589121,2024,160610994054.734,11.205775270045308
FIN,Finland,51,64.2551359946432,26.194973104159,2024,298696961297.656,11.47523080446428
MNG,Mongolia,48,46.9562038928416,103.123972155588,2024,23794540024.5132,10.376477313810273
CHE,Switzerland,48,46.7988964222167,8.20628200253268,2024,936564198048.516,11.97153755202907
NLD,Netherlands,47,52.2269208415578,4.99154722169435,2024,1214927698572.66,12.084550433452657
PAN,Panama,47,8.52023299729671,-80.1187762360439,2024,86523959131.7472,10.93713638351014
RUS,Russia,45,66.033582596777,95.78893857594,2024,2173835806671.66,12.337226738025617
TUR,Turkey,45,39.1370133081839,35.1728012216458,2024,1359123768774.12,12.13325900761409
DZA,Algeria,43,28.055993421913,2.63118841954702,2024,269322281664.773,11.430272285100166
COL,Colombia,42,3.90348006164073,-73.0770322684778,2024,418818154879.271,11.622025499160088
PRT,Portugal,40,39.606210302125,-8.52813020383653,2024,313271185085.102,11.495920449991663
ECU,Ecuador,35,-1.42410985523635,-78.7492983168795,2024,124676074700,11.095783120497925
PHL,Philippines,35,11.7293432285371,122.919280095055,2024,461617509782.355,11.664282273842717
ROU,Romania,35,45.8484139837285,24.9831818039956,2024,382564217988.866,11.58270434714265
