accepted_id,canonicalName,phylum,family,genus,study_count
2703459,Oryza sativa,Tracheophyta,Poaceae,Oryza,577
5290052,Zea mays,Tracheophyta,Poaceae,Zea,529
7795888,Triticum aestivum,Tracheophyta,Poaceae,Triticum,467
2930137,Solanum lycopersicum,Tracheophyta,Solanaceae,Solanum,434
5359660,Glycine max,Tracheophyta,Fabaceae,Glycine,269
12227662,NA,Tracheophyta,Vitaceae,Vitis,246
3052436,Arabidopsis thaliana,Tracheophyta,Brassicaceae,Arabidopsis,188
2706056,Hordeum vulgare,Tracheophyta,Poaceae,Hordeum,162
5353770,Arachis hypogaea,Tracheophyta,Fabaceae,Arachis,132
2930262,Solanum tuberosum,Tracheophyta,Solanaceae,Solanum,127
5350452,Phaseolus vulgaris,Tracheophyta,Fabaceae,Phaseolus,127
3001244,Malus domestica,Tracheophyta,Rosaceae,Malus,126
2706231,Lolium arundinaceum,Tracheophyta,Poaceae,Lolium,124
2932944,Capsicum annuum,Tracheophyta,Solanaceae,Capsicum,99
5285637,Pinus sylvestris,Tracheophyta,Pinaceae,Pinus,92
2928774,Nicotiana tabacum,Tracheophyta,Solanaceae,Nicotiana,89
2762680,Musa acuminata,Tracheophyta,Musaceae,Musa,84
4141881,Achnatherum inebrians,Tracheophyta,Poaceae,Achnatherum,80
9920890,NA,Tracheophyta,Asteraceae,Helianthus,79
2874569,Cucumis sativus,Tracheophyta,Cucurbitaceae,Cucumis,77
3189635,Camellia sinensis,Tracheophyta,Theaceae,Camellia,77
3042636,Brassica napus,Tracheophyta,Brassicaceae,Brassica,74
3152661,Gossypium hirsutum,Tracheophyta,Malvaceae,Gossypium,74
2688470,Huperzia serrata,Tracheophyta,Lycopodiaceae,Huperzia,72
3152205,Theobroma cacao,Tracheophyta,Malvaceae,Theobroma,71
2705181,Sorghum bicolor,Tracheophyta,Poaceae,Sorghum,66
7403263,Lactuca sativa,Tracheophyta,Asteraceae,Lactuca,66
2895345,Coffea arabica,Tracheophyta,Rubiaceae,Coffea,64
5415040,Olea europaea,Tracheophyta,Oleaceae,Olea,62
2974832,Vicia faba,Tracheophyta,Fabaceae,Vicia,60
3172358,Fraxinus excelsior,Tracheophyta,Oleaceae,Fraxinus,60
2703912,Saccharum officinarum,Tracheophyta,Poaceae,Saccharum,59
2882316,Fagus sylvatica,Tracheophyta,Fagaceae,Fagus,59
2947311,Cicer arietinum,Tracheophyta,Fabaceae,Cicer,59
3169830,Catharanthus roseus,Tracheophyta,Apocynaceae,Catharanthus,59
9151957,Medicago sativa,Tracheophyta,Fabaceae,Medicago,58
3042845,Brassica oleracea,Tracheophyta,Brassicaceae,Brassica,57
2687885,Ginkgo biloba,Tracheophyta,Ginkgoaceae,Ginkgo,51
