"phylum","family"
"Tracheophyta","Achatocarpaceae"
"Tracheophyta","Acoraceae"
"Tracheophyta","Actinidiaceae"
"Tracheophyta","Adiantaceae"
"Tracheophyta","Aextoxicaceae"
"Tracheophyta","Agdestidaceae"
"Tracheophyta","Akaniaceae"
"Tracheophyta","Alseuosmiaceae"
"Tracheophyta","Alstroemeriaceae"
"Tracheophyta","Alzateaceae"
"Tracheophyta","Amborellaceae"
"Tracheophyta","Amphorogynaceae"
"Tracheophyta","Anacampserotaceae"
"Tracheophyta","Ancistrocladaceae"
"Tracheophyta","Anemiaceae"
"Tracheophyta","Angaropeltaceae"
"Tracheophyta","Anisophylleaceae"
"Tracheophyta","Anthericaceae"
"Tracheophyta","Aphanopetalaceae"
"Tracheophyta","Aphloiaceae"
"Tracheophyta","Aponogetonaceae"
"Tracheophyta","Aquifoliaceae"
"Tracheophyta","Araucariaceae"
"Tracheophyta","Argophyllaceae"
"Tracheophyta","Aspleniaceae"
"Tracheophyta","Asteliaceae"
"Tracheophyta","Atherospermataceae"
"Tracheophyta","Athyriaceae"
"Tracheophyta","Austrobaileyaceae"
"Tracheophyta","Barbeuiaceae"
"Tracheophyta","Barbeyaceae"
"Tracheophyta","Bataceae"
"Tracheophyta","Berberidopsidaceae"
"Tracheophyta","Betulaceae"
"Tracheophyta","Biebersteiniaceae"
"Tracheophyta","Bixaceae"
"Tracheophyta","Blandfordiaceae"
"Tracheophyta","Bonnetiaceae"
"Tracheophyta","Bruniaceae"
"Tracheophyta","Buddlejaceae"
"Tracheophyta","Burmanniaceae"
"Tracheophyta","Buxaceae"
"Tracheophyta","Byblidaceae"
"Tracheophyta","Cabombaceae"
"Tracheophyta","Calceolariaceae"
"Tracheophyta","Campynemataceae"
"Tracheophyta","Cannaceae"
"Tracheophyta","Capparaceae"
"Tracheophyta","Cardiopteridaceae"
"Tracheophyta","Casuarinaceae"
"Tracheophyta","Centroplacaceae"
"Tracheophyta","Cephalotaceae"
"Tracheophyta","Cephalotaxaceae"
"Tracheophyta","Cercidiphyllaceae"
"Tracheophyta","Cervantesiaceae"
"Tracheophyta","Cibotiaceae"
"Tracheophyta","Cistaceae"
"Tracheophyta","Cladoxylaceae"
"Tracheophyta","Cleomaceae"
"Tracheophyta","Clethraceae"
"Tracheophyta","Cochlospermaceae"
