"phylum","family"
"Anthocerotophyta","Dendrocerotaceae"
"Anthocerotophyta","Leiosporocerotaceae"
"Anthocerotophyta","Notothyladaceae"
"Anthocerotophyta","Nototyladaceae"
"Anthocerotophyta","Phymatocerotaceae"
"Bryophyta","Acrocladiaceae"
"Bryophyta","Agaricomycetidae"
"Bryophyta","Amblystegiaceae"
"Bryophyta","Ambuchananiaceae"
"Bryophyta","Amphidiaceae"
"Bryophyta","Andreaeaceae"
"Bryophyta","Andreaeobryaceae"
"Bryophyta","Anomodontaceae"
"Bryophyta","Antitrichiaceae"
"Bryophyta","Aongstroemiaceae"
"Bryophyta","Archidiaceae"
"Bryophyta","Aulacomniaceae"
"Bryophyta","Bartramiaceae"
"Bryophyta","Brachytheciaceae"
"Bryophyta","Brachytheiaceae"
"Bryophyta","Braithwaiteaceae"
"Bryophyta","Bruchiaceae"
"Bryophyta","Bryaceae"
"Bryophyta","Bryowijkiaceae"
"Bryophyta","Bryoxiphiaceae"
"Bryophyta","Buxbaumiaceae"
"Bryophyta","Callicladiaceae"
"Bryophyta","Calliergonaceae"
"Bryophyta","Calomniaceae"
"Bryophyta","Calymperaceae"
"Bryophyta","Catagoniaceae"
"Bryophyta","Catoscopiaceae"
"Bryophyta","Chrysoblastellaceae"
"Bryophyta","Climaciaceae"
"Bryophyta","Cryphaeaceae"
"Bryophyta","Cyrtopoaceae"
"Bryophyta","Daltoniaceae"
"Bryophyta","Dicranaceae"
"Bryophyta","Dicranellaceae"
"Bryophyta","Diphysciaceae"
"Bryophyta","Disceliaceae"
"Bryophyta","Distichiaceae"
"Bryophyta","Ditrichaceae"
"Bryophyta","Dothideomycetes"
"Bryophyta","Drummondiaceae"
"Bryophyta","Echinodiaceae"
"Bryophyta","Encalyptaceae"
"Bryophyta","Entodontaceae"
"Bryophyta","Ephemeraceae"
"Bryophyta","Erpodiaceae"
"Bryophyta","Eustichiaceae"
"Bryophyta","Fabroniaceae"
"Bryophyta","Fissidentaceae"
"Bryophyta","Flatbergiaceae"
"Bryophyta","Flexitrichaceae"
"Bryophyta","Fontinalaceae"
"Bryophyta","Funariacea"
"Bryophyta","Gigaspermaceae"
"Bryophyta","Grimmiaceae"
"Bryophyta","Habrodontaceae"
"Bryophyta","Hedwigiaceae"
"Bryophyta","Helicophyllaceae"
"Bryophyta","Helodiaceae"
"Bryophyta","Heterocladiellaceae"
"Bryophyta","Hookeriaceae"
"Bryophyta","Hydropogonellaceae"
"Bryophyta","Hymenolomataceae"
"Bryophyta","Hypnaceae"
"Bryophyta","Hypodontiaceae"
"Bryophyta","Hypopterygiaceae"
"Bryophyta","Jocheniaceae"
"Bryophyta","Lembophyllaceae"
"Bryophyta","Leptostomataceae"
"Bryophyta","Lepyrodontaceae"
"Bryophyta","Leskeaceae"
"Bryophyta","Leucobryaceae"
"Bryophyta","Leucodontaceae"
"Bryophyta","Leucomiaceae"
"Bryophyta","Meesiaceae"
"Bryophyta","Meteoriaceae"
"Bryophyta","Micromitriaceae"
"Bryophyta","Microtheciellaceae"
"Bryophyta","Mitteniaceae"
"Bryophyta","Miyabeaceae"
"Bryophyta","Mniaceae"
"Bryophyta","Myriniaceae"
"Bryophyta","Myuriaceae"
"Bryophyta","Neckeraceae"
"Bryophyta","Octoblepharaceae"
"Bryophyta","Oedipodiaceae"
"Bryophyta","Orthodontiaceae"
"Bryophyta","Orthorrhynchiaceae"
"Bryophyta","Orthostichellaceae"
"Bryophyta","Orthotrichaceae"
"Bryophyta","Phyllodrepaniaceae"
"Bryophyta","Phyllogoniaceae"
"Bryophyta","Pilotrichaceae"
"Bryophyta","Plagiotheciaceae"
"Bryophyta","Pleurophascaceae"
"Bryophyta","Pleuroziopsaceae"
"Bryophyta","Pottiaceae"
"Bryophyta","Prionodontaceae"
"Bryophyta","Pseudoditrichaceae"
"Bryophyta","Pseudoleskeaceae"
"Bryophyta","Pseudoleskeellaceae"
"Bryophyta","Pterigynandraceae"
"Bryophyta","Pterobryaceae"
"Bryophyta","Pterobryellaceae"
"Bryophyta","Ptychomitriaceae"
"Bryophyta","Ptychomniaceae"
"Bryophyta","Pulchrinodaceae"
"Bryophyta","Pylaisiaceae"
"Bryophyta","Pylaisiadelphaceae"
"Bryophyta","Racopilaceae"
"Bryophyta","Regmatodontaceae"
"Bryophyta","Rhabdodontiaceae"
"Bryophyta","Rhabdoweisiaceae"
"Bryophyta","Rhachitheciaceae"
"Bryophyta","Rhizofabroniaceae"
"Bryophyta","Rhizogoniaceae"
"Bryophyta","Rhytidiaceae"
"Bryophyta","Rutenbergiaceae"
"Bryophyta","Saelaniaceae"
"Bryophyta","Saulomataceae"
"Bryophyta","Schimperobryaceae"
"Bryophyta","Schistostegaceae"
"Bryophyta","Scorpidiaceae"
"Bryophyta","Scouleriaceae"
"Bryophyta","Seligeriaceae"
"Bryophyta","Sematophyllaceae"
"Bryophyta","Sepotortellaceae"
"Bryophyta","Serpotortellaceae"
"Bryophyta","Sorapillaceae"
"Bryophyta","Spiridentaceae"
"Bryophyta","Splachnaceae"
"Bryophyta","Splachnobryaceae"
"Bryophyta","Stereodontaceae"
"Bryophyta","Stereophyllaceae"
"Bryophyta","Symphyodontaceae"
"Bryophyta","Takakiaceae"
"Bryophyta","Taxiphyllaceae"
"Bryophyta","Tetraphidaceae"
"Bryophyta","Theliaceae"
"Bryophyta","Thuidiaceae"
"Bryophyta","Timmiaceae"
"Bryophyta","Timmiellaceae"
"Bryophyta","Trachylomataceae"
"Bryophyta","Trichostomaceae"
"Bryophyta","Tricostaceae"
"Bryophyta","Viridivelleraceae"
"Charophyta","Aclistocharaceae"
"Charophyta","Atopocharaceae"
"Charophyta","Characeae"
"Charophyta","Chovanellaceae"
"Charophyta","Clavatoraceae"
"Charophyta","Closteriaceae"
"Charophyta","Coleochaetaceae"
"Charophyta","Desmidiaceae"
"Charophyta","Elakatotrichaceae"
"Charophyta","Eocharaceae"
"Charophyta","Feistiellaceae"
"Charophyta","Gonatozygaceae"
"Charophyta","Klebsormidiaceae"
"Charophyta","Mesotaeniaceae"
"Charophyta","Moellerinaceae"
"Charophyta","Palaeocharaceae"
"Charophyta","Peniaceae"
"Charophyta","Pinnoputamenaceae"
"Charophyta","Porocharaceae"
"Charophyta","Pseudomoellerinaceae"
"Charophyta","Raskyellaceae"
"Charophyta","Spirogloeaceae"
"Charophyta","Stellatocharaceae"
"Charophyta","Stichococcaceae"
"Charophyta","Sycidiaceae"
"Charophyta","Trochiliscaceae"
"Charophyta","Umbellaceae"
"Charophyta","Umbellinaceae"
"Charophyta","Zygnemataceae"
"Chlorophyta","Actinochloridaceae"
"Chlorophyta","Amphispongiaceae"
"Chlorophyta","Anadyomenaceae"
"Chlorophyta","Anatoliporaceae"
"Chlorophyta","Anchicodiaceae"
"Chlorophyta","Ankistrodesmaceae"
"Chlorophyta","Aphanochaetaceae"
"Chlorophyta","Apidiaceae"
"Chlorophyta","Asteromonadaceae"
"Chlorophyta","Aternasusaceae"
"Chlorophyta","Barrancaceae"
"Chlorophyta","Beresellaceae"
"Chlorophyta","Binucleariaceae"
"Chlorophyta","Bolbocoleaceae"
"Chlorophyta","Bolbocoleonaceae"
"Chlorophyta","Boodleaceae"
"Chlorophyta","Bornetellaceae"
"Chlorophyta","Borodinellaceae"
"Chlorophyta","Botryococcaceae"
"Chlorophyta","Bracteacoccaceae"
"Chlorophyta","Bracteamorphaceae"
"Chlorophyta","Bryopsidaceae"
"Chlorophyta","Capsosiphonaceae"
"Chlorophyta","Carteriaceae"
"Chlorophyta","Caulerpaceae"
"Chlorophyta","Centromonadaceae"
"Chlorophyta","Chaetopeltidaceae"
"Chlorophyta","Chaetophoraceae"
"Chlorophyta","Chaetosiphonaceae"
"Chlorophyta","Characiaceae"
"Chlorophyta","Characiochloridaceae"
"Chlorophyta","Characiosiphonaceae"
"Chlorophyta","Chlamydomonadaceae"
"Chlorophyta","Chlorangiellaceae"
"Chlorophyta","Chlorochytriaceae"
"Chlorophyta","Chlorococcaceae"
"Chlorophyta","Chlorocystidaceae"
"Chlorophyta","Chlorodendraceae"
"Chlorophyta","Chloropicaceae"
