"label_loose","abstract","x","article_title","authors","book_authors","book_editors","book_group_authors","author_full_names","book_author_full_names","conference_authors","source_title","book_series_title","book_series_subtitle","language","conference_title","conference_date","conference_location","conference_sponsor","conference_host","author_keywords","keywords_plus","affiliations","addresses","reprint_addresses","email_addresses","researcher_ids","orci_ds","funding_text","funding_orgs","funding_name_preferred","cited_references","cited_reference_count","times_cited_wo_s_core","times_cited_all_databases","x180_day_usage_count","since_2013_usage_count","publisher","publisher_city","publisher_address","issn","e_issn","isbn","journal_abbreviation","journal_iso_abbreviation","publication_date","publication_year","volume","issue","supplement","special_issue","meeting_abstract","start_page","end_page","doi","doi_link","book_doi","early_access_date","number_of_pages","wo_s_categories","research_areas","subject_categories","ids_number","pubmed_id","open_access_designations","highly_cited_status","hot_paper_status","date_of_export","ut_unique_wos_id","web_of_science_record","article_number","cited_by","link","molecular_sequence_numbers","chemicals_cas","tradenames","manufacturers","conference_code","coden","document_type","publication_stage","source","eid","id","Irrelevant","Relevant","label_medium","label_strict","Presence","Absence","label_super_strict"
"Absence","1. Pathogens can affect their hosts and change community composition and structure. Pathogens may be key determinants of biological invasions. However, few empirical studies exist examining how non-native plants drive their invasions through indirect effects involved with pathogens. Here, indirect effects refer to how one species alters the effect that another species has on a third. 2. Fusarium palustre was associated with the dieback of Spartina alterniflora in its native North American saltmarshes. Native plant Phragmites australis was also found to die back in the Dongtan wetland of the Chinese Yangtze River estuary invaded by non-native Spartina alterniflora. This phenomenon suggests that Spartina might not escape from its pathogen when being introduced from its native North America and has indirectly caused the dieback of Phragmites in China. 3. To investigate the indirect effect of Spartina involving Fusarium, we sampled plants and soils in dieback patches to isolate the pathogen. Next, we used an artificial inoculation study to determine the virulence of Fusarium to both Phragmites and Spartina. Finally, the spatial distribution of Fusarium was studied through examining its incidence in saltmarshes along the east coast of China. 4. The endophytic fungus F. palustre was found to be closely associated with Phragmites dieback in the Dongtan wetland and it is likely that it was transported by non-native Spartina from its native North American saltmarshes to the Chinese saltmarshes. The spillover of F. palustre from non-native Spartina to native Phragmites might subsequently facilitate Spartina invasion. 5. Synthesis. Invasive plants do not only directly compete with native plants, but also indirectly cause pathogen infection on the latter, by acting as vectors and reservoirs for pathogens shared with native plants. Our findings highlight the significance of indirect effects involving pathogens in biological invasions. It is necessary to consider these pathogen-mediated indirect effects of non-native plant species in multi-host-pathogen systems for management and restoration purposes.",53,"Indirect effects of non-native <i>Spartina alterniflora</i> and its fungal pathogen (<i>Fusarium palustre</i>) on native saltmarsh plants in China","Li, H; Zhang, XM; Zheng, RS; Li, X; Elmer, WH; Wolfe, LM; Li, B",NA,NA,NA,"Li, Hui; Zhang, Xiameng; Zheng, Rushui; Li, Xiao; Elmer, Wade H.; Wolfe, Lorne M.; Li, Bo",NA,NA,"JOURNAL OF ECOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Li, Bo/B-8016-2010","Li, Bo/0000-0002-0439-5666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0022-0477","1365-2745",NA,NA,NA,"SEP",2014,"102","5",NA,NA,NA,"1112","1119","10.1111/1365-2745.12285","http://dx.doi.org/10.1111/1365-2745.12285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000340681300002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,0.0693814588032057,0.930618541196794,"Absence","Absence",0.172500505532855,0.827499494467145,"Uncertain"
"Absence","Although fungal endophytes of grasses have been known since the 1930s, their economic importance was not recognized until an association was made in the late 1970s between Acremonium coenophialum Morgan-Jones and Gams and a toxicity syndrome in livestock consuming tall fescue (Festuca arundinacea Schreb.). Cattle consuming endophyte-infected tall fescue have reduced growth, conception, milk production, and intolerance to heat. In horses, high foal mortality and agalactia occur on endophyte-infected grass. Sheep consuming perennial ryegrass (Lolium perenne L.) infected with the endophyte Acremonium lolii Latch, Christensen and Samuels are afflicted with a staggers syndrome, resulting in reduced weight gain. Endophyte-free, as compared with infected tall fescue, can increase steer weight gains by 30 to over 100% and furnish normal conception and milk production in beef cows. Since most tall fescue pastures in the USA are infected with the endophyte, livestock economic losses are high. Beef cattle annual losses are conservatively estimated at $354 million in reduced calf numbers and $255 million in reduced weaning weights, The poor performance of beef steers on infected tall fescue pasture has prevented its use for stocker production, resulting in higher production costs on high-quality winter annual pastures. Foal mortality of mares grazing tall fescue can be high, but no estimate of losses is available. Wild rabbit populations are reduced when consuming tall fescue. The mutualistic symbiosis of the endophyte and the grass confers a number of benefits on the host plant such as insect and nematode resistance, drought tolerance, and improved competition with other plant species. Endophyte infection of turf grasses confers improved growth and resistance to environmental stresses. In contrast, the use of endophyte-free grass cultivars for improved animal performance results in plants less tolerant of pests, drought, and overgrazing. Stand losses of endophyte-free tall fescue have been greatest on farms in the southern part of the USA tall fescue belt where environmental stresses are greatest. Better grazing management practices are necessary to maintain stands and productivity of endophyte-free grass cultivars. Ideally, modification of the fungal endophyte to remove the harmful properties and maintain those beneficial to the host plant is the ultimate solution. The increasing number of scientists from many disciplines attracted to research on the grass-endophyte relationship offers much promise for the future.",691,"IMPORTANCE AND ECONOMIC-SIGNIFICANCE OF THE ACREMONIUM ENDOPHYTES TO PERFORMANCE OF ANIMALS AND GRASS PLANT","HOVELAND, CS",NA,NA,NA,"HOVELAND, CS",NA,NA,"AGRICULTURE ECOSYSTEMS & ENVIRONMENT",NA,NA,NA,"INTERNATIONAL SYMP ON ACREMONIUM-GRASS INTERACTIONS","NOV 05-07, 1990","NEW ORLEANS, LA","USDA ARS, USDA CRS, USDA, LOUISIANA AGR EXPT STN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0167-8809",NA,NA,NA,NA,"MAR",1993,"44","1-4",NA,NA,NA,"3","12","10.1016/0167-8809(93)90036-O","http://dx.doi.org/10.1016/0167-8809(93)90036-O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1993KZ99700002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659,0.0575974484925155,0.942402551507485,"Absence","Absence",2.76303709911829e-08,0.999999972369629,"Absence"
"Absence","As herbivory usually leads to loss of photosynthesizing biomass, its consequences for plants are often negative. However, in favorable conditions, effects of herbivory on plants may be neutral or even beneficial. According to the compensatory continuum hypothesis plants can tolerate herbivory best in resource-rich conditions. Besides herbivory, also primarily positive biotic interactions like mycorrhizal symbiosis, bear carbon costs. Tritrophic plant-fungus-herbivore interaction further complicates plant's cost-benefit balance, because herbivory of the host plant is expected to cause decline in mycorrhizal colonization under high availability of soil nutrients when benefits of symbiosis decline in relation to costs. To gain insight into above interactions we tested the effects of plant size and resource manipulation (simulated herbivory and fertilization) on both above-ground performance and on root fungal colonization of the biennial Gentianella campestris. Clipping caused allocation shift from height growth to branches in all groups except in large and fertilized plants. For large plants nutrient addition may have come too late, as the number of meristems was most likely determined already before the fertilization. Clipping decreased the amount of DSE (dark septate endophytic) fungi which generally are not considered to be mycorrhizal. The effect of clipping on total fungal colonization and colonization by arbuscular mycorrhizal (AM) fungal coils were found to depend on host size and resource level. Dissimilar mycorrhizal response to simulated herbivory in small vs. large plants could be due to more intensive light competition in case of small plants. Carbon limited small plants may not be able to maintain high mycorrhizal colonization, whereas large clipped plants allocate extra resources to roots and mycorrhizal fungi at the expense of above-ground parts. Our results suggest that herbivory may increase carbon limitation that leads re-growing shoots and fungal symbionts to function as competing sinks for the limited carbon reserves. (C) 2011 Elsevier GmbH. All rights reserved.",976,"Grazing tolerance and mycorrhizal colonization: Effects of resource manipulation and plant size in biennial <i>Gentianella campestris</i>","Piippo, S; Huhta, AP; Rautio, P; Markkola, A; Tuomi, J",NA,NA,NA,"Piippo, Sari; Huhta, Ari-Pekka; Rautio, Pasi; Markkola, Annamari; Tuomi, Juha",NA,NA,"FLORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rautio, Pasi/A-6595-2013","Piippo, Sari/0000-0002-2146-9321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0367-2530","1618-0585",NA,NA,NA,NA,2011,"206","9",NA,NA,NA,"808","813","10.1016/j.flora.2011.03.001","http://dx.doi.org/10.1016/j.flora.2011.03.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000296312100005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,0.036679541428433,0.963320458571567,"Absence","Absence",0.0239396762348446,0.976060323765155,"Absence"
"Absence","Background Fusarium odoratissimum (Foc TR4) is a devastating fungal pathogen that causes Panama wilt in Caven-dish banana, a high value crop that generates significant revenue. The excessive use of synthetic fungicides for disease control poses risks to both human health and the environment. Consequently, there is a pressing need for ecofriendly alternatives to manage this disease. One potential approach is the utilization of biocontrol agents, which have shown promise in disease control. This study aimed to evaluate the biocontrol potential of fungal endophytes isolated from the naturally-resistant cultivar Cardaba banana against Foc TR4. These fungal isolates were subjected to a dual culture assay, characterized based on morpho-cultural characteristics, and confirmed molecularly using the internal transcribed spacer (ITS) region of rDNA. Results Of the 15 fungal endophytes isolated from Cardaba; Blakeslea trispora, Pseudopestalotiopsis theae, Xylaria badia, Nigrospora hainanensis, Colletotrichum gloeosporioides, Xylaria feejeensis, Gymnoascus reessii, Fusarium subglutinans, Rigidoporus vinctus, and Macrophomina phaseolina showed potential antagonistic activity against F. odoratissimum. Isolates X. feejeensis (USMJMTBL10), G. reesii (USMJMTBL11), and M. phaseolina (USMJMTBR1) had the highest antagonistic activity of 87.8-96.6% against F. odoratissimum in vitro. Conclusion This study presents evidence of the potential of Cardaba-associated endophytes isolated and identified in this research, as effective biocontrol agents against F. odoratissimum, the causal agent of Panama disease in Caven-dish banana. Our findings suggest that these endophytes hold promise as a biocontrol agent for managing Foc TR4-infected banana plants. Future research will focus on in planta testing, validation in greenhouse and field trials, as well as development of formulations and application protocols to optimize the utilization of these biocontrol agents in an integrated management approach for Foc TR4-infected bananas.",1101,"Fungal endophytes as potential biocontrol agent of Panama disease of banana","Taping, JMF; Borja, BT; Bretaña, BLP; Tanabe, MEN; Cabasan, MTN",NA,NA,NA,"Taping, Jonah Mae F.; Borja, Bernadith T.; Bretana, Bryan Lloyd P.; Tanabe, Maria Elena N.; Cabasan, Ma. Teodora N.",NA,NA,"EGYPTIAN JOURNAL OF BIOLOGICAL PEST CONTROL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cabasan, Ma./AAI-7286-2020","Cabasan, Ma. Teodora/0000-0003-0458-769X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1110-1768","2536-9342",NA,NA,NA,"AUG 24",2023,"33","1",NA,NA,NA,NA,NA,"10.1186/s41938-023-00727-7","http://dx.doi.org/10.1186/s41938-023-00727-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:001054258300001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060,0.00514290842595833,0.994857091574042,"Absence","Uncertain",0.206173035898201,0.793826964101799,"Uncertain"
"Absence","Biosynthetic potential of fungal endophytes from medicinal plants represents an attractive source for discovery of new bioactive metabolites. Present study involved characterizing metabolite(s) of non-pathogenic, endophytic Fusarium oxysporum designated ZzEF8 which was identified previously from Zingiber zerumbet rhizome to display antagonism towards Pythium myriotylum [62.2 +/- 2.58% percent of inhibition (PoI)], an oomycetous phytopathogen of significant economic concern. Efficacy of ZzEF8 in suppressing soft rot by P. myriotylum was further evaluated by planting ginger rhizomes primed with ZzEF8 conidial suspension (10(6) conidia/ ml) followed by transplanting the primed rhizome in sterile soil infested with P. myriotylum (10(3) zoospores/g soil). Batch fermentation followed by solvent extraction yielded a dark red solid (0.45 mg/ml) which after fractionation by silica column (500 x 30 mm) chromatography (100-200 mu) using chloroform: methanol (8:2) solvent yielded three fractions, F1-3. Validation of inhibitory activity of the fractions by disc diffusion assay identified F2 to exhibit absolute P. myriotylum growth inhibition (100%) while F1 and F3 showed 57.62% and 10.73% inhibition respectively. Further purification of F2 by silica column chromatography (300 x 10 mm) yielded three sub-fractions viz., F2a-c. Further LC/Q -TOF MS-analysis of the three sub-fractions identified F2a to contain umbelliferone (t(R) 6.93 min) as major metabolite. Batch fermentation under submerged conditions was thence optimized for optimal metabolite production. Evaluation of cytotoxicity of F2a and F2b fractions in HeLa cell lines revealed F2a to display cytotoxic effect with IC50 value of 57.9 mu g/ml. Anti-Pythium activity of ZzEF8 and anti-cancer activity of ZzEF8 metabolites identified in present experiments signifies its potential for use in pharmaceutical and agricultural industry.",1525,"Potential of <i>Zingiber zerumbet</i> endophytic <i>Fusarium oxysporum</i> as biopriming agents to control <i>Pythium</i> mediated soft-rot and optimization of fermentation conditions for cytotoxic metabolite(s) production","Keerthi, D; Harsha, K; Harshitha, K; Nair, AR",NA,NA,NA,"Keerthi, D.; Harsha, K.; Harshitha, K.; Nair, Aswati R.",NA,NA,"JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIVAKARAN, KEERTHI/0000-0001-7927-7034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0971-7811","0974-1275",NA,NA,NA,"MAR",2023,"32","1",NA,NA,NA,"163","173","10.1007/s13562-022-00793-2","http://dx.doi.org/10.1007/s13562-022-00793-2",NA,"JUN 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000809331300001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1463,0.0634124528584905,0.936587547141509,"Absence","Uncertain",0.20764626132248,0.79235373867752,"Uncertain"
"Absence","Cadmium (Cd) and chromium (Cr) in agricultural soils is becoming a serious threat in tomato. The complete removal of these heavy metals (HMs) from contaminated soil is challenging. However, the use of plant endophytes might be beneficial. The pragmatic role of endophytic fungi Aspergillus flavus (Ch-01) in tomato under Cd and Cr stress was, therefore, investigated. A. flavus enhanced growth attributes in tomato seedlings under Cd and Cr stress. Besides, it remediated Cd and Cr toxicity by reducing their translocation from the roots to the upper part of the tomato plants. In fact, A. flavus associated plants developed tolerance against Cd and Cr toxicity via the expression of SlGSH1 and SlPCS1 genes. Both genes helped in metal chelation and mitigation of Cd and Cr toxicity. From the results, it is concluded that A. flavus is a plant growth promoting and HMs alleviating endophyte, hence it might be used as a biofertilizer.",1626,"<i>Aspergillus Flavus</i> reprogrammed morphological and chemical attributes of <i>Solanum lycopersicum</i> through <i>SlGSH1</i> and <i>SlPCS1</i> genes modulation under heavy metal stress","Aziz, L; Hamayun, M; Rauf, M; Iqbal, A; Husssin, A; Khan, SA; Irshad, M; Lee, IJ",NA,NA,NA,"Aziz, Laila; Hamayun, Muhammad; Rauf, Mamoona; Iqbal, Amjad; Husssin, Anwar; Khan, Sumera Afzal; Irshad, Muhammad; Lee, In-jung",NA,NA,"JOURNAL OF PLANT INTERACTIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iqbal, Amjad/E-2010-2014; Khan, Abdul/H-5910-2011; Lee, In-Jung/GLS-0432-2022; Irshad, Muhammad/JQW-6402-2023; Hamayun, Muhammad/B-1694-2010; Rauf, Mamoona/AAC-3246-2019","Iqbal, Amjad/0000-0001-6141-8337; Rauf, Mamoona/0000-0001-7756-0741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1742-9145","1742-9153",NA,NA,NA,"JAN 1",2021,"16","1",NA,NA,NA,"104","115","10.1080/17429145.2021.1903105","http://dx.doi.org/10.1080/17429145.2021.1903105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000632625800001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1561,0.0900422556179945,0.909957744382005,"Absence","Absence",0.00582750577295232,0.994172494227048,"Absence"
"Absence","Cynomorium songaricum Rupr. is a valuable food and medicinal plant with functions, such as an increase in sexual function, mainly attributed to its complex secondary metabolites. However, the effect of internal microbes on metabolite production in C. songaricum is still largely unclear. In this study, the relationship between endophytes and differential secondary metabolites in C. songaricum from seven major producing regions of China were explored based on established methods of metabolomics and high-throughput sequencing. The results showed that there were 13 different marker metabolites, seven shared fungal OTUs, and numerous unshared OTUs among C. songaricum distributed at different locations in China and identified significant correlations between metabolites and endophytic fungi. Our study revealed that endophytic fungi may be one possible factor that can affect the plant secondary metabolite composition.",2023,"Correlation in Chemical Metabolome and Endophytic Mycobiome in <i>Cynomorium songaricum</i> from Different Desert Locations in China","Cui, JL; Gong, Y; Vijayakurnar, V; Zhang, G; Wang, ML; Wang, JH; Xue, XZ",NA,NA,NA,"Cui, Jin-Long; Gong, Yi; Vijayakurnar, Vinod; Zhang, Gang; Wang, Meng-Liang; Wang, Jun -Hong; Xue, Xiao-Zan",NA,NA,"JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wang, JunHong/HKE-0286-2023","Vijayakumar, Vinod/0000-0002-4923-5551; Cui, Jin-Long/0000-0001-5050-3384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0021-8561","1520-5118",NA,NA,NA,"APR 3",2019,"67","13",NA,NA,NA,"3554","3564","10.1021/acs.jafc.9b00467","http://dx.doi.org/10.1021/acs.jafc.9b00467",NA,NA,NA,NA,NA,NA,NA,30860831,NA,NA,NA,NA,"WOS:000463843500003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1943,0.111886437668848,0.888113562331152,"Absence","Absence",0.00145120301344093,0.998548796986559,"Absence"
"Absence","Disruption of the tumor suppressor PTEN, either at the protein or genomic level, plays an important role in human cancer development. The high frequency of PTEN deficiency reported across several cancer subtypes positions therapeutic approaches that exploit PTEN loss-of-function with the ability to significantly impact the treatment strategies of a large patient population. Here, we report that an endophytic fungus isolated from a medicinal plant produces an inhibitor of DNA double-strand-break repair. Furthermore, the novel alkaloid product, which we have named irrepairzepine (1), demonstrated synthetic lethal targeting in PTEN-deficient glioblastoma cells. Our results uncover a new therapeutic lead for PTEN-deficient cancers and an important molecular tool toward enhancing the efficacy of current cancer treatments.",2178,"A DNA Repair Inhibitor Isolated from an Ecuadorian Fungal Endophyte Exhibits Synthetic Lethality in PTEN-Deficient Glioblastoma","Adaku, N; Park, HB; Spakowicz, DJ; Tiwari, MK; Strobel, SA; Crawford, JM; Rogers, FA",NA,NA,NA,"Adaku, Nneoma; Park, Hyun Bong; Spakowicz, Daniel J.; Tiwari, Meetu Kaushik; Strobel, Scott A.; Crawford, Jason M.; Rogers, Faye A.",NA,NA,"JOURNAL OF NATURAL PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strobel, Scott/U-6033-2019; Spakowicz, Dan/E-5233-2012","Park, Hyun Bong/0000-0002-2986-3833; Spakowicz, Dan/0000-0003-2314-6435; Adaku, Nneoma/0000-0001-9287-6744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0163-3864","1520-6025",NA,NA,NA,"JUN 26",2020,"83","6",NA,NA,NA,"1899","1908","10.1021/acs.jnatprod.0c00012","http://dx.doi.org/10.1021/acs.jnatprod.0c00012",NA,NA,NA,NA,NA,NA,NA,32407116,NA,NA,NA,NA,"WOS:000545691700017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2090,0.0124231225251659,0.987576877474834,"Uncertain","Uncertain",0.413087489454228,0.586912510545772,"Uncertain"
"Absence","Endophytes are microorganisms that spend all or part of their lives inside plant tissue without causing disease symptoms. Strains of fungal endophytes have been shown to have great potential as beneficial crop inoculants for biocontrol, biofertilisation and biostimulation. In this study, we carried out replicated glasshouse trials to examine the effects on a barley cultivar of ten fungal endophytes isolated from the wild barley relative Hordeum murinum. In both replicate trials, we found that two strains of Cladosporium significantly increased the grain yield over the control (P < 0.05). The increase in grain yield was positively correlated with both the number of heads and the number of grains. The Cladosporium strains were originally isolated from seeds of H. murinum but results show that they can successfully colonise the root tissue of cultivated barley The Cladosporium strains were not recoverable from seed or root tissue of mature plants at the end of the experiment, indicating an early 'priming' effect by the endophytes. If these positive results translate to field grown barley, then there is great potential for these endophyte strains to help reduce chemical crop inputs and to enhance sustainable farming practices.",2447,"ENDOPHYTIC <i>CLADOSPORIUM</i> STRAINS FROM A CROP WILD RELATIVE INCREASE GRAIN YIELD IN BARLEY","Murphy, BR; Hodkinson, TR; Doohan, FM",NA,NA,NA,"Murphy, Brian R.; Hodkinson, Trevor R.; Doohan, Fiona M.",NA,NA,"BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hodkinson, Trevor/F-6850-2014; Doohan, Fiona/A-7462-2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0791-7945","2009-003X",NA,NA,NA,NA,2018,"118B","3",NA,NA,NA,"147","156","10.3318/BIOE.2018.14","http://dx.doi.org/10.3318/BIOE.2018.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000467194400003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2349,0.0143285522074487,0.985671447792551,"Absence","Absence",0.139658314688316,0.860341685311684,"Uncertain"
"Absence","Endophytes represent a diverse domain of microorganisms with immense biotechnological potentialities. Metabolites from endophytes, especially fungi, are useful in industrial as well as pharmaceutical aspects. Here, endophytic fungal isolates of Andrographis paniculata collected from the Tapobon, Junglemahal region of West Bengal, India, have been studied for their hydrolyzing enzyme production abilities. Out of eighty-one isolates, twenty-one were positive for amylase, protease, lipase, laccase, and tannase action. Microscopic features of positive isolates revealed that the enzyme producers were Aspergillus sp., Fusarium sp., Alternaria sp., Trichoderma sp., Exerohilum sp., Nigrospora sp., Curvularia sp., Cladosporium sp., Cochliobolus sp., Tricothecium sp., Penicillium sp., Verticillium sp., and Cephalosporium sp. The amylolytic activity was remarkable in the case of endophytic Aspergillus sp. and Fusarium sp. Also, Aspergillus sp. and Alternaria sp. had proteolytic activity. Aspergillus sp., Mycelia sterilia-2, and Trichoderma sp. were potent lipase producers. Along with Exerohilum sp. endophyticAspergillus sp. had positive laccase activity. The tannic acid degrading activity was highest for Aspergillus sp. APL11 followed by Helicosporium sp. and Fusarium sp. Tannase producing ability of Aspergillus sp. was optimized and an incubation time- 96h, incubation temperature- 29 degrees C, initial medium pH- 6.5, carbon source- glucose, and nitrogen source- NaNO3 exhibited a two-fold scale-up of (2.83 +/- 0.05 u mL-1) in tannase action. These enzymes offer eco-friendly and efficient solutions across a wide range of industrial processes including food production, textile processing, and pharmaceutical synthesis. Fungal endophytes of medicinal plants act as an alternative source for hydrolysing enzymes.",2554,"Exploitation of Selected Fungal Endophytes of<i> Andrographis</i><i> paniculata</i> (Burm. f.) Wall. ex Nees for the Production and Optimisation of Tannase and Screening for their Associated Hydrolysing Enzymes; Amylase, Protease, Lipase, and Laccase","Mishra, B; Santra, HK; Banerjee, D",NA,NA,NA,"Mishra, Bibartan; Santra, Hiran Kanti; Banerjee, Debdulal",NA,NA,"JOURNAL OF PURE AND APPLIED MICROBIOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Banerjee, Debdulal/P-8155-2016; Santra, Hiran kanti/KVY-2276-2024","Banerjee, Debdulal/0000-0001-7835-8940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0973-7510","2581-690X",NA,NA,NA,"2024 FEB 29",2024,NA,NA,NA,NA,NA,NA,NA,"10.22207/JPAM.18.1.39","http://dx.doi.org/10.22207/JPAM.18.1.39",NA,"FEB 2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:001179696200001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2453,0.0540355171369606,0.945964482863039,"Absence","Uncertain",0.218592316838496,0.781407683161504,"Uncertain"
