"canonicalName","rank","confidence","matchType","kingdom","phylum","class","order","family","genus","species","id","predicted_label"
"Cordia dichotoma","SPECIES",97,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Cordiaceae","Cordia","Cordia dichotoma","415","Presence"
"Asteraceae","FAMILY",92,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA,"415","Presence"
"Pestalotiopsis microspora","SPECIES",97,"EXACT","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","Pestalotiopsis","Pestalotiopsis microspora","415","Presence"
"Microspora","GENUS",94,"EXACT","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Microsporaceae","Microspora",NA,"415","Presence"
"Asteraceae","FAMILY",92,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA,"415","Presence"
"Microspora","GENUS",94,"HIGHERRANK","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Microsporaceae","Microspora",NA,"415","Presence"
"Microspora","GENUS",94,"EXACT","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Microsporaceae","Microspora",NA,"415","Presence"
"Phyllanthus niruri","SPECIES",97,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","Phyllanthus","Phyllanthus niruri","179","Presence"
"Assay","GENUS",94,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Assay",NA,"179","Presence"
"Assay","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Assay",NA,"179","Presence"
"Lafoensia pacari","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","Lafoensia","Lafoensia pacari","526","Presence"
"Guazuma ulmifolia","SPECIES",98,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Guazuma","Guazuma ulmifolia","526","Presence"
"Campomanesia xanthocarpa","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","Campomanesia","Campomanesia xanthocarpa","526","Presence"
"Siparuna guianensis","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Laurales","Siparunaceae","Siparuna","Siparuna guianensis","526","Presence"
"Colletotrichum","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum",NA,"526","Presence"
"Diaporthe","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe",NA,"526","Presence"
"Bjerkandera","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Bjerkandera",NA,"526","Presence"
"Talaromyces","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces",NA,"526","Presence"
"Cochliobolus","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Cochliobolus",NA,"526","Presence"
"Phaeophlebiopsis","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phaeophlebiopsis",NA,"526","Presence"
"Curvularia","GENUS",94,"EXACT","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",NA,"526","Presence"
"Talaromyces","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces",NA,"526","Presence"
"Huperzia serrata","SPECIES",97,"EXACT","Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Huperzia","Huperzia serrata","195","Presence"
"Derxomyces","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Derxomyces",NA,"195","Presence"
"Lophiostoma","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma",NA,"195","Presence"
"Cyphellophora","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora",NA,"195","Presence"
"Serendipita","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita",NA,"195","Presence"
"Kurtzmanomyces","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Chionosphaeraceae","Kurtzmanomyces",NA,"195","Presence"
"Mycosphaerella","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Mycosphaerella",NA,"195","Presence"
"Conoideocrella","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Conoideocrella",NA,"195","Presence"
"Brevicellicium","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Brevicellicium",NA,"195","Presence"
