five_year_period,period_label,total_papers,avg_info_score,high_info_papers,high_info_pct,papers_with_methods,methods_pct
1925,1925-1929,7,2.71,6,85.7,6,85.7
1930,1930-1934,4,2.75,2,50,3,75
1935,1935-1939,20,3.55,16,80,16,80
1940,1940-1944,3,4,3,100,3,100
1945,1945-1949,16,3.31,15,93.8,15,93.8
1950,1950-1954,43,3.12,36,83.7,36,83.7
1955,1955-1959,39,3.59,37,94.9,37,94.9
1960,1960-1964,22,2.68,11,50,16,72.7
1965,1965-1969,118,3.14,98,83.1,74,62.7
1970,1970-1974,128,3.29,107,83.6,115,89.8
1975,1975-1979,421,3.24,338,80.3,402,95.5
1980,1980-1984,510,3.33,423,82.9,480,94.1
1985,1985-1989,800,3.35,707,88.4,694,86.8
1990,1990-1994,1590,3.51,1418,89.2,1518,95.5
1995,1995-1999,1751,3.49,1570,89.7,1638,93.5
2000,2000-2004,2632,3.48,2350,89.3,2513,95.5
2005,2005-2009,5797,3.54,5336,92,5608,96.7
2010,2010-2014,10985,3.52,10144,92.3,10861,98.9
2015,2015-2019,17779,3.51,16313,91.8,17610,99
2020,2020-2024,29477,3.56,27728,94.1,29279,99.3
2025,2025-2029,4257,3.54,3997,93.9,4243,99.7
