kingdom,phylum,country_clean,unique_species
Fungi,Ascomycota,United States,1988
Fungi,Ascomycota,South Africa,1166
Fungi,Ascomycota,Thailand,1104
Fungi,Ascomycota,China,957
Fungi,Ascomycota,Brazil,929
Fungi,Ascomycota,India,846
Fungi,Ascomycota,Australia,832
Fungi,Ascomycota,USA,828
Fungi,Ascomycota,Spain,823
Fungi,Ascomycota,Italy,734
Fungi,Ascomycota,Iran,654
Fungi,Ascomycota,Russia,625
Fungi,Ascomycota,France,608
Fungi,Ascomycota,Chile,605
Fungi,Ascomycota,Vietnam,589
Fungi,Ascomycota,New Zealand,565
Fungi,Ascomycota,Malaysia,558
Fungi,Ascomycota,Poland,527
Fungi,Ascomycota,Pakistan,426
Fungi,Ascomycota,Mexico,414
Fungi,Ascomycota,UK,398
Fungi,Ascomycota,Czech Republic,377
Fungi,Ascomycota,Ecuador,377
Fungi,Ascomycota,South Korea,376
Fungi,Ascomycota,Croatia,374
Fungi,Ascomycota,Netherlands,331
Fungi,Ascomycota,Germany,318
Fungi,Ascomycota,Portugal,318
Fungi,Ascomycota,Hungary,304
Fungi,Ascomycota,Ukraine,304
Fungi,Ascomycota,Canada,297
Fungi,Ascomycota,Sweden,297
Fungi,Ascomycota,Norway,291
Fungi,Ascomycota,Argentina,270
Fungi,Ascomycota,Japan,269
Fungi,Ascomycota,Namibia,235
Fungi,Ascomycota,Indonesia,234
Fungi,Ascomycota,US,230
Fungi,Ascomycota,Bulgaria,203
Fungi,Ascomycota,Taiwan,202
Fungi,Ascomycota,Slovenia,191
Fungi,Ascomycota,Switzerland,174
Fungi,Ascomycota,Algeria,155
Fungi,Ascomycota,Uruguay,145
Fungi,Ascomycota,Tanzania,143
Fungi,Ascomycota,Colombia,141
Fungi,Ascomycota,Austria,136
Fungi,Ascomycota,Estonia,135
Fungi,Ascomycota,Slovakia,128
Fungi,Ascomycota,Nigeria,123
Fungi,Ascomycota,Uzbekistan,122
Fungi,Ascomycota,Ghana,119
Fungi,Ascomycota,Nepal,112
Fungi,Ascomycota,Mozambique,111
Fungi,Ascomycota,United Arab Emirates,109
Fungi,Ascomycota,Macedonia,105
Fungi,Ascomycota,Laos,103
Fungi,Ascomycota,Cyprus,89
Fungi,Ascomycota,Egypt,87
Fungi,Ascomycota,Sri Lanka,87
Fungi,Ascomycota,United Kingdom,87
Fungi,Ascomycota,Finland,86
Fungi,Ascomycota,Britain,84
Fungi,Ascomycota,French Guiana,84
Fungi,Ascomycota,Philippines,77
Fungi,Ascomycota,Saudi Arabia,73
Fungi,Ascomycota,Greece,61
Fungi,Ascomycota,Bangladesh,55
Fungi,Ascomycota,Turkey,54
Fungi,Ascomycota,Belgium,48
Fungi,Ascomycota,Iceland,40
Fungi,Ascomycota,Mongolia,39
Fungi,Ascomycota,Romania,37
Fungi,Ascomycota,Ireland,35
Fungi,Ascomycota,Iraq,34
Fungi,Ascomycota,Morocco,33
Fungi,Ascomycota,England,30
Fungi,Ascomycota,Ethiopia,30
Fungi,Ascomycota,Lithuania,30
Fungi,Ascomycota,Myanmar,29
Fungi,Ascomycota,Georgia,28
Fungi,Ascomycota,Israel,28
Fungi,Ascomycota,Serbia,27
Fungi,Ascomycota,Venezuela,27
Fungi,Ascomycota,Oman,26
Fungi,Ascomycota,Tunisia,26
Fungi,Ascomycota,Cameroon,25
Fungi,Ascomycota,Congo,20
Fungi,Ascomycota,North Korea,20
Fungi,Ascomycota,RSA,18
Fungi,Ascomycota,Burkina Faso,17
Fungi,Ascomycota,Kenya,17
Fungi,Ascomycota,Scotland,17
Fungi,Ascomycota,Singapore,17
Fungi,Ascomycota,Uganda,17
Fungi,Ascomycota,Niger,16
Fungi,Ascomycota,Kazakhstan,15
Fungi,Ascomycota,Peru,14
Fungi,Ascomycota,Jordan,13
Fungi,Ascomycota,Luxembourg,13
Fungi,Ascomycota,Afghanistan,12
Fungi,Ascomycota,Denmark,12
Fungi,Ascomycota,Hong Kong,12
Fungi,Ascomycota,Azerbaijan,11
Fungi,Ascomycota,Sudan,11
Fungi,Ascomycota,Syria,11
Fungi,Ascomycota,Wales,11
Fungi,Ascomycota,Zimbabwe,10
Fungi,Ascomycota,Qatar,8
Fungi,Ascomycota,Fiji,7
Fungi,Ascomycota,Madagascar,7
Fungi,Ascomycota,Montenegro,7
Fungi,Ascomycota,USSR,7
Fungi,Ascomycota,Zambia,7
Fungi,Ascomycota,Malta,6
Fungi,Ascomycota,Mauritius,6
Fungi,Ascomycota,Bolivia,5
Fungi,Ascomycota,Brunei,5
Fungi,Ascomycota,Papua New Guinea,5
Fungi,Ascomycota,Brasil,4
Fungi,Ascomycota,Lebanon,4
Fungi,Ascomycota,Northern Ireland,4
Fungi,Ascomycota,Russian Federation,4
Fungi,Ascomycota,Soviet Union,4
Fungi,Ascomycota,Armenia,3
Fungi,Ascomycota,Guyana,3
Fungi,Ascomycota,Holland,3
Fungi,Ascomycota,Latvia,3
Fungi,Ascomycota,PRC,3
Fungi,Ascomycota,Belarus,2
Fungi,Ascomycota,Kyrgyzstan,2
Fungi,Ascomycota,Samoa,2
Fungi,Ascomycota,Bahrain,1
Fungi,Ascomycota,Malawi,1
Fungi,Ascomycota,México,1
Fungi,Ascomycota,People's Republic of China,1
Fungi,Basidiomycota,United States,364
Fungi,Basidiomycota,South Africa,184
Fungi,Basidiomycota,Brazil,143
Fungi,Basidiomycota,USA,141
Fungi,Basidiomycota,Thailand,138
Fungi,Basidiomycota,Australia,127
Fungi,Basidiomycota,Spain,125
Fungi,Basidiomycota,India,118
Fungi,Basidiomycota,China,105
Fungi,Basidiomycota,Vietnam,105
Fungi,Basidiomycota,France,100
Fungi,Basidiomycota,Italy,100
Fungi,Basidiomycota,Russia,99
Fungi,Basidiomycota,Chile,93
Fungi,Basidiomycota,New Zealand,90
Fungi,Basidiomycota,Malaysia,86
Fungi,Basidiomycota,Poland,85
Fungi,Basidiomycota,Iran,78
Fungi,Basidiomycota,Ecuador,73
Fungi,Basidiomycota,Croatia,68
Fungi,Basidiomycota,Pakistan,61
Fungi,Basidiomycota,Mexico,60
Fungi,Basidiomycota,Czech Republic,58
Fungi,Basidiomycota,Portugal,56
Fungi,Basidiomycota,Ukraine,55
Fungi,Basidiomycota,Netherlands,52
Fungi,Basidiomycota,Argentina,51
Fungi,Basidiomycota,Japan,51
Fungi,Basidiomycota,Norway,51
Fungi,Basidiomycota,Hungary,50
Fungi,Basidiomycota,Sweden,48
Fungi,Basidiomycota,Canada,47
Fungi,Basidiomycota,UK,45
Fungi,Basidiomycota,Germany,42
Fungi,Basidiomycota,Indonesia,39
Fungi,Basidiomycota,Slovenia,37
Fungi,Basidiomycota,Namibia,36
