id,countries_detected,global_north_countries,global_south_countries,continents_detected,regions_detected,has_coordinates,geographic_summary
2,NA,NA,NA,NA,NA,FALSE,NA
3,France,France,NA,NA,NA,FALSE,France
4,USA,USA,NA,NA,NA,FALSE,USA
5,NA,NA,NA,NA,NA,FALSE,NA
6,NA,NA,NA,NA,NA,FALSE,NA
7,NA,NA,NA,NA,NA,FALSE,NA
8,NA,NA,NA,NA,NA,FALSE,NA
9,Argentina; Chile,NA,Argentina; Chile,NA,wetland; patagonia; patagonian,FALSE,Argentina; Chile; wetland; patagonia; patagonian
10,NA,NA,NA,NA,NA,FALSE,NA
11,NA,NA,NA,NA,NA,FALSE,NA
12,India,NA,India,NA,NA,FALSE,India
13,NA,NA,NA,NA,NA,FALSE,NA
15,Argentina,NA,Argentina,NA,temperate; patagonia,FALSE,Argentina; temperate; patagonia
16,NA,NA,NA,NA,heathland,FALSE,heathland
17,NA,NA,NA,NA,NA,FALSE,NA
18,NA,NA,NA,NA,NA,FALSE,NA
19,NA,NA,NA,NA,NA,FALSE,NA
20,NA,NA,NA,NA,NA,FALSE,NA
21,NA,NA,NA,NA,NA,FALSE,NA
22,India,NA,India,NA,NA,FALSE,India
23,NA,NA,NA,NA,NA,FALSE,NA
24,NA,NA,NA,NA,NA,FALSE,NA
25,NA,NA,NA,NA,NA,FALSE,NA
26,Mexico,NA,Mexico,NA,arid,FALSE,Mexico; arid
27,NA,NA,NA,NA,NA,FALSE,NA
28,NA,NA,NA,europe,central europe,FALSE,europe; central europe
29,NA,NA,NA,NA,tropical,FALSE,tropical
30,Brazil,NA,Brazil,NA,NA,FALSE,Brazil
31,NA,NA,NA,NA,NA,FALSE,NA
32,NA,NA,NA,NA,NA,FALSE,NA
33,NA,NA,NA,NA,NA,FALSE,NA
34,NA,NA,NA,NA,NA,FALSE,NA
35,NA,NA,NA,NA,NA,FALSE,NA
36,Brazil,NA,Brazil,NA,northeast,FALSE,Brazil; northeast
37,NA,NA,NA,NA,NA,FALSE,NA
38,NA,NA,NA,NA,coniferous forest,FALSE,coniferous forest
39,China; India; Nepal; Bhutan,NA,China; India; Nepal; Bhutan,NA,tibetan,FALSE,China; India; Nepal; Bhutan; tibetan
41,NA,NA,NA,NA,NA,FALSE,NA
46,NA,NA,NA,NA,arid; desert,FALSE,arid; desert
48,NA,NA,NA,NA,NA,FALSE,NA
50,China,NA,China,NA,NA,FALSE,China
51,NA,NA,NA,NA,NA,FALSE,NA
52,NA,NA,NA,NA,desert; hot desert,FALSE,desert; hot desert
53,NA,NA,NA,NA,NA,FALSE,NA
54,NA,NA,NA,NA,NA,TRUE,NA
55,NA,NA,NA,NA,NA,FALSE,NA
56,NA,NA,NA,NA,NA,FALSE,NA
57,NA,NA,NA,NA,NA,FALSE,NA
58,NA,NA,NA,NA,NA,FALSE,NA
60,NA,NA,NA,NA,NA,FALSE,NA
61,NA,NA,NA,NA,NA,FALSE,NA
62,Venezuela,NA,Venezuela,NA,arid; neotropical; tropical; temperate,FALSE,Venezuela; arid; neotropical; tropical; temperate
63,NA,NA,NA,NA,NA,FALSE,NA
64,NA,NA,NA,NA,NA,FALSE,NA
65,NA,NA,NA,NA,NA,FALSE,NA
66,NA,NA,NA,NA,NA,FALSE,NA
67,NA,NA,NA,NA,NA,FALSE,NA
68,NA,NA,NA,NA,tropical; rainforest,FALSE,tropical; rainforest
69,NA,NA,NA,NA,NA,FALSE,NA
70,NA,NA,NA,NA,NA,FALSE,NA
71,NA,NA,NA,NA,chaparral,FALSE,chaparral
72,NA,NA,NA,NA,NA,FALSE,NA
74,China,NA,China,NA,NA,FALSE,China
75,NA,NA,NA,NA,NA,FALSE,NA
76,NA,NA,NA,NA,NA,FALSE,NA
77,South Korea,South Korea,NA,NA,intertidal,FALSE,South Korea; intertidal
78,NA,NA,NA,NA,NA,FALSE,NA
79,NA,NA,NA,NA,NA,FALSE,NA
80,NA,NA,NA,NA,NA,FALSE,NA
81,NA,NA,NA,NA,NA,FALSE,NA
82,China,NA,China,NA,southwest,FALSE,China; southwest
83,China,NA,China,NA,desert; arid,FALSE,China; desert; arid
84,Sri Lanka,NA,Sri Lanka,NA,sri lanka,FALSE,Sri Lanka; sri lanka
85,India,NA,India,NA,western ghats,FALSE,India; western ghats
86,NA,NA,NA,NA,NA,FALSE,NA
87,NA,NA,NA,NA,NA,FALSE,NA
88,NA,NA,NA,NA,NA,FALSE,NA
89,NA,NA,NA,NA,NA,FALSE,NA
90,NA,NA,NA,NA,NA,FALSE,NA
91,South Korea,South Korea,NA,NA,marine; intertidal,FALSE,South Korea; marine; intertidal
92,NA,NA,NA,NA,NA,FALSE,NA
93,Brazil,NA,Brazil,NA,cerrado; atlantic forest,FALSE,Brazil; cerrado; atlantic forest
94,NA,NA,NA,NA,savanna,FALSE,savanna
95,NA,NA,NA,NA,NA,TRUE,NA
96,NA,NA,NA,NA,arid; desert,FALSE,arid; desert
97,Brazil,NA,Brazil,NA,northeast,FALSE,Brazil; northeast
98,NA,NA,NA,NA,NA,FALSE,NA
99,NA,NA,NA,NA,NA,TRUE,NA
100,NA,NA,NA,NA,NA,TRUE,NA
101,Indonesia,NA,Indonesia,NA,sumatra,FALSE,Indonesia; sumatra
103,NA,NA,NA,NA,mangrove,FALSE,mangrove
104,NA,NA,NA,NA,mangrove,FALSE,mangrove
105,NA,NA,NA,NA,NA,FALSE,NA
106,NA,NA,NA,NA,NA,FALSE,NA
107,U.S.,U.S.,NA,NA,NA,FALSE,U.S.
109,NA,NA,NA,NA,NA,FALSE,NA
110,Antarctica,NA,Antarctica,antarctica; antarctic,NA,FALSE,Antarctica; antarctica; antarctic
111,NA,NA,NA,NA,NA,FALSE,NA
113,NA,NA,NA,NA,NA,FALSE,NA
114,NA,NA,NA,NA,NA,FALSE,NA
115,NA,NA,NA,NA,NA,FALSE,NA
116,NA,NA,NA,NA,NA,FALSE,NA
117,NA,NA,NA,NA,NA,TRUE,NA
118,NA,NA,NA,NA,marine,FALSE,marine
119,NA,NA,NA,NA,NA,FALSE,NA
120,NA,NA,NA,NA,NA,FALSE,NA
121,NA,NA,NA,NA,NA,TRUE,NA
122,NA,NA,NA,NA,NA,FALSE,NA
123,Saudi Arabia,NA,Saudi Arabia,NA,desert,TRUE,Saudi Arabia; desert
124,China,NA,China,NA,desert,FALSE,China; desert
125,NA,NA,NA,NA,NA,FALSE,NA
126,NA,NA,NA,NA,NA,FALSE,NA
127,NA,NA,NA,NA,NA,FALSE,NA
129,South Korea,South Korea,NA,NA,freshwater,FALSE,South Korea; freshwater
130,NA,NA,NA,NA,NA,FALSE,NA
131,Bangladesh,NA,Bangladesh,NA,marine; bay; bengal,TRUE,Bangladesh; marine; bay; bengal
132,NA,NA,NA,NA,NA,FALSE,NA
133,NA,NA,NA,NA,NA,FALSE,NA
