kingdom,phylum,country_clean,unique_species
Fungi,Ascomycota,Thailand,1102
Fungi,Ascomycota,China,986
Fungi,Ascomycota,Brazil,941
Fungi,Ascomycota,Spain,903
Fungi,Ascomycota,India,869
Fungi,Ascomycota,Australia,833
Fungi,Ascomycota,USA,828
Fungi,Ascomycota,Italy,808
Fungi,Ascomycota,South Africa,784
Fungi,Ascomycota,France,717
Fungi,Ascomycota,Iran,652
Fungi,Ascomycota,Russia,625
Fungi,Ascomycota,Vietnam,591
Fungi,Ascomycota,New Zealand,565
Fungi,Ascomycota,Malaysia,560
Fungi,Ascomycota,Chile,526
Fungi,Ascomycota,Pakistan,459
Fungi,Ascomycota,Poland,426
Fungi,Ascomycota,Mexico,414
Fungi,Ascomycota,Ecuador,410
Fungi,Ascomycota,UK,398
Fungi,Ascomycota,Czech Republic,377
Fungi,Ascomycota,Croatia,375
Fungi,Ascomycota,South Korea,362
Fungi,Ascomycota,Portugal,333
Fungi,Ascomycota,Netherlands,331
Fungi,Ascomycota,Germany,325
Fungi,Ascomycota,Canada,322
Fungi,Ascomycota,Antarctica,306
Fungi,Ascomycota,Hungary,304
Fungi,Ascomycota,Ukraine,304
Fungi,Ascomycota,United States,304
Fungi,Ascomycota,Sweden,298
Fungi,Ascomycota,Indonesia,297
Fungi,Ascomycota,Norway,292
Fungi,Ascomycota,Argentina,281
Fungi,Ascomycota,Japan,269
Fungi,Ascomycota,Namibia,242
Fungi,Ascomycota,Costa Rica,238
Fungi,Ascomycota,US,230
Fungi,Ascomycota,Bulgaria,204
Fungi,Ascomycota,Taiwan,200
Fungi,Ascomycota,Panama,198
Fungi,Ascomycota,Slovenia,191
Fungi,Ascomycota,Greece,189
Fungi,Ascomycota,Colombia,179
Fungi,Ascomycota,Switzerland,174
Fungi,Ascomycota,Turkey,170
Fungi,Ascomycota,Nepal,166
Fungi,Ascomycota,Formosa,162
Fungi,Ascomycota,Algeria,155
Fungi,Ascomycota,Estonia,146
Fungi,Ascomycota,Tanzania,146
Fungi,Ascomycota,Uruguay,145
Fungi,Ascomycota,Austria,136
Fungi,Ascomycota,Slovakia,128
Fungi,Ascomycota,Nigeria,123
Fungi,Ascomycota,Uzbekistan,122
Fungi,Ascomycota,Ghana,119
Fungi,Ascomycota,Puerto Rico,114
Fungi,Ascomycota,Mozambique,111
Fungi,Ascomycota,Laos,108
Fungi,Ascomycota,Macedonia,105
Fungi,Ascomycota,Angola,103
Fungi,Ascomycota,Cyprus,89
Fungi,Ascomycota,United Arab Emirates,89
Fungi,Ascomycota,Egypt,87
Fungi,Ascomycota,Finland,87
Fungi,Ascomycota,Sri Lanka,86
Fungi,Ascomycota,Britain,84
Fungi,Ascomycota,French Guiana,84
Fungi,Ascomycota,Philippines,80
Fungi,Ascomycota,Great Britain,79
Fungi,Ascomycota,Dominican Republic,76
Fungi,Ascomycota,Saudi Arabia,73
Fungi,Ascomycota,Siam,72
Fungi,Ascomycota,Peru,65
Fungi,Ascomycota,Bhutan,64
Fungi,Ascomycota,Venezuela,64
Fungi,Ascomycota,U.A.E.,63
Fungi,Ascomycota,Bolivia,62
Fungi,Ascomycota,Bangladesh,55
Fungi,Ascomycota,Belgium,48
Fungi,Ascomycota,U.S.,47
Fungi,Ascomycota,Belize,45
Fungi,Ascomycota,Trinidad And Tobago,42
Fungi,Ascomycota,Trinidad and Tobago,42
Fungi,Ascomycota,Iceland,41
Fungi,Ascomycota,Mongolia,39
Fungi,Ascomycota,United Kingdom,39
Fungi,Ascomycota,New Caledonia,38
Fungi,Ascomycota,Romania,37
Fungi,Ascomycota,Ireland,35
Fungi,Ascomycota,Iraq,34
Fungi,Ascomycota,Morocco,33
Fungi,Ascomycota,Lithuania,32
Fungi,Ascomycota,Ethiopia,31
Fungi,Ascomycota,England,30
Fungi,Ascomycota,Georgia,28
Fungi,Ascomycota,Israel,28
Fungi,Ascomycota,Oman,26
Fungi,Ascomycota,Tunisia,26
Fungi,Ascomycota,Cameroon,25
Fungi,Ascomycota,Jersey,25
Fungi,Ascomycota,Serbia,25
Fungi,Ascomycota,Congo,20
Fungi,Ascomycota,North Korea,20
Fungi,Ascomycota,Uganda,19
Fungi,Ascomycota,Zimbabwe,19
Fungi,Ascomycota,RSA,18
Fungi,Ascomycota,Burkina Faso,17
Fungi,Ascomycota,Kenya,17
Fungi,Ascomycota,Myanmar,17
Fungi,Ascomycota,Scotland,17
Fungi,Ascomycota,Singapore,17
Fungi,Ascomycota,Zambia,16
Fungi,Ascomycota,Kazakhstan,15
Fungi,Ascomycota,Latvia,15
Fungi,Ascomycota,Guinea,14
Fungi,Ascomycota,Denmark,13
Fungi,Ascomycota,Jordan,13
Fungi,Ascomycota,Luxembourg,13
Fungi,Ascomycota,Niger,13
Fungi,Ascomycota,Afghanistan,12
Fungi,Ascomycota,Honduras,12
Fungi,Ascomycota,Hong Kong,12
Fungi,Ascomycota,Azerbaijan,11
Fungi,Ascomycota,Sudan,11
Fungi,Ascomycota,Syria,11
Fungi,Ascomycota,Wales,11
Fungi,Ascomycota,Botswana,10
Fungi,Ascomycota,Jamaica,10
Fungi,Ascomycota,Qatar,8
Fungi,Ascomycota,Cuba,7
Fungi,Ascomycota,Fiji,7
Fungi,Ascomycota,Madagascar,7
Fungi,Ascomycota,Montenegro,7
Fungi,Ascomycota,USSR,7
Fungi,Ascomycota,Cambodia,6
Fungi,Ascomycota,Guatemala,6
Fungi,Ascomycota,Malta,6
Fungi,Ascomycota,Mauritius,6
Fungi,Ascomycota,Barbados,5
Fungi,Ascomycota,Benin,5
Fungi,Ascomycota,Brunei,5
Fungi,Ascomycota,Papua New Guinea,5
Fungi,Ascomycota,Bermuda,4
Fungi,Ascomycota,Brasil,4
Fungi,Ascomycota,Burundi,4
Fungi,Ascomycota,Lebanon,4
Fungi,Ascomycota,Northern Ireland,4
Fungi,Ascomycota,P.R.C.,4
Fungi,Ascomycota,Russian Federation,4
Fungi,Ascomycota,Rwanda,4
Fungi,Ascomycota,Soviet Union,4
Fungi,Ascomycota,Armenia,3
Fungi,Ascomycota,Cote D'Ivoire,3
Fungi,Ascomycota,Dominica,3
Fungi,Ascomycota,Guinea-Bissau,3
Fungi,Ascomycota,Guyana,3
Fungi,Ascomycota,Holland,3
Fungi,Ascomycota,PRC,3
Fungi,Ascomycota,Aland,2
Fungi,Ascomycota,Aland Islands,2
Fungi,Ascomycota,Albania,2
Fungi,Ascomycota,American Samoa,2
Fungi,Ascomycota,Belarus,2
Fungi,Ascomycota,Bosnia and Herzegovina,2
Fungi,Ascomycota,Faroe Islands,2
Fungi,Ascomycota,French Polynesia,2
Fungi,Ascomycota,Greenland,2
Fungi,Ascomycota,Kyrgyzstan,2
Fungi,Ascomycota,Mauritania,2
Fungi,Ascomycota,Micronesia,2
Fungi,Ascomycota,Samoa,2
Fungi,Ascomycota,Bahrain,1
Fungi,Ascomycota,Cook Islands,1
Fungi,Ascomycota,Malawi,1
Fungi,Ascomycota,México,1
Fungi,Ascomycota,People's Republic of China,1
Fungi,Ascomycota,Togo,1
Fungi,Basidiomycota,Brazil,141
Fungi,Basidiomycota,USA,141
Fungi,Basidiomycota,Thailand,138
Fungi,Basidiomycota,Spain,135
Fungi,Basidiomycota,Australia,127
Fungi,Basidiomycota,India,126
Fungi,Basidiomycota,South Africa,121
Fungi,Basidiomycota,France,113
Fungi,Basidiomycota,Italy,110
Fungi,Basidiomycota,China,107
Fungi,Basidiomycota,Vietnam,105
Fungi,Basidiomycota,Russia,99
Fungi,Basidiomycota,New Zealand,90
Fungi,Basidiomycota,Chile,86
Fungi,Basidiomycota,Malaysia,86
Fungi,Basidiomycota,Iran,78
Fungi,Basidiomycota,Ecuador,74
Fungi,Basidiomycota,Pakistan,69
Fungi,Basidiomycota,Croatia,68
Fungi,Basidiomycota,Poland,63
Fungi,Basidiomycota,Antarctica,61
Fungi,Basidiomycota,Mexico,60
Fungi,Basidiomycota,Czech Republic,58
Fungi,Basidiomycota,Portugal,56
Fungi,Basidiomycota,Ukraine,55
Fungi,Basidiomycota,Argentina,53
Fungi,Basidiomycota,Canada,53
Fungi,Basidiomycota,Netherlands,52
Fungi,Basidiomycota,Japan,51
Fungi,Basidiomycota,Norway,51
Fungi,Basidiomycota,Hungary,50
Fungi,Basidiomycota,Sweden,48
Fungi,Basidiomycota,Indonesia,45
Fungi,Basidiomycota,UK,45
Fungi,Basidiomycota,Germany,42
Fungi,Basidiomycota,Namibia,37
Fungi,Basidiomycota,Slovenia,37
Fungi,Basidiomycota,Costa Rica,36
Fungi,Basidiomycota,United States,34
Fungi,Basidiomycota,Bulgaria,33
Fungi,Basidiomycota,Estonia,30
Fungi,Basidiomycota,Nepal,29
Fungi,Basidiomycota,Panama,29
Fungi,Basidiomycota,Greece,27
Fungi,Basidiomycota,South Korea,27
Fungi,Basidiomycota,Algeria,23
Fungi,Basidiomycota,Colombia,23
Fungi,Basidiomycota,Ghana,21
Fungi,Basidiomycota,Macedonia,20
