id,countries_detected,global_north_countries,global_south_countries,continents_detected,regions_detected,has_coordinates,geographic_summary
5608,South Africa,NA,South Africa,africa,NA,FALSE,South Africa; africa
5707,NA,NA,NA,NA,NA,FALSE,NA
14091,Israel,Israel,NA,NA,NA,FALSE,Israel
13685,NA,NA,NA,NA,NA,FALSE,NA
13453,Brazil,NA,Brazil,asia,NA,FALSE,Brazil; asia
19178,NA,NA,NA,NA,NA,TRUE,NA
9788,NA,NA,NA,NA,NA,FALSE,NA
5997,NA,NA,NA,NA,reservoir,TRUE,reservoir
1004,NA,NA,NA,NA,NA,TRUE,NA
11124,NA,NA,NA,NA,NA,FALSE,NA
104,NA,NA,NA,NA,mangrove,FALSE,mangrove
9892,NA,NA,NA,NA,NA,FALSE,NA
11164,Germany; Switzerland; Austria; Slovakia; Slovenia,Germany; Switzerland; Austria; Slovakia; Slovenia,NA,europe,NA,FALSE,Germany; Switzerland; Austria; Slovakia; Slovenia; europe
14750,South Korea,South Korea,NA,NA,coastal,FALSE,South Korea; coastal
1914,Australia,Australia,NA,australia,NA,FALSE,Australia; australia
18433,NA,NA,NA,NA,marine,FALSE,marine
6546,Iran,NA,Iran,NA,NA,FALSE,Iran
5567,England,England,NA,NA,NA,FALSE,England
18575,NA,NA,NA,NA,NA,FALSE,NA
11236,NA,NA,NA,NA,temperate,FALSE,temperate
21368,NA,NA,NA,NA,NA,FALSE,NA
9139,Taiwan,Taiwan,NA,NA,coastal,FALSE,Taiwan; coastal
6481,NA,NA,NA,NA,NA,FALSE,NA
21009,NA,NA,NA,NA,NA,FALSE,NA
11981,NA,NA,NA,NA,delta,TRUE,delta
8895,NA,NA,NA,NA,NA,TRUE,NA
13390,NA,NA,NA,NA,NA,TRUE,NA
8935,Japan,Japan,NA,NA,japan,FALSE,Japan; japan
10993,NA,NA,NA,NA,NA,FALSE,NA
10805,NA,NA,NA,NA,pasture,FALSE,pasture
5813,Canada,Canada,NA,north america,pacific northwest; coastal; reservoir,FALSE,Canada; north america; pacific northwest; coastal; reservoir
17378,South Korea; Israel; China; India; Iran; Iraq; Lebanon; United States,South Korea; Israel; United States,China; India; Iran; Iraq; Lebanon,asia,NA,FALSE,South Korea; Israel; China; India; Iran; Iraq; Lebanon; United States; asia
992,NA,NA,NA,NA,NA,FALSE,NA
21049,NA,NA,NA,NA,NA,FALSE,NA
10207,NA,NA,NA,NA,NA,FALSE,NA
9832,NA,NA,NA,NA,NA,FALSE,NA
1063,Antarctica,NA,Antarctica,antarctica; antarctic,volcanic; temperate,FALSE,Antarctica; antarctica; antarctic; volcanic; temperate
19508,NA,NA,NA,NA,NA,FALSE,NA
19684,NA,NA,NA,NA,NA,FALSE,NA
12380,NA,NA,NA,NA,coastal,FALSE,coastal
16201,NA,NA,NA,NA,NA,FALSE,NA
19744,NA,NA,NA,NA,NA,FALSE,NA
14006,India,NA,India,NA,temperate,FALSE,India; temperate
