kingdom,phylum,family,total_known_species
Fungi,Ascomycota,Arthoniaceae,696
Fungi,Basidiomycota,Cortinariaceae,594
Fungi,Basidiomycota,Gomphaceae,481
Fungi,Basidiomycota,Raveneliaceae,362
Fungi,Ascomycota,Lichinaceae,330
Fungi,Basidiomycota,Anthracoideaceae,306
Fungi,Chytridiomycota,Synchytriaceae,248
Fungi,Ascomycota,Tuberaceae,245
Fungi,Basidiomycota,Rhizopogonaceae,231
Fungi,Basidiomycota,Incrustoporiaceae,209
Fungi,Ascomycota,Rhizocarpaceae,173
Fungi,Basidiomycota,Pterulaceae,149
Fungi,Ascomycota,Psoraceae,146
Fungi,Basidiomycota,Bankeraceae,140
Fungi,Ascomycota,Trapeliaceae,137
Fungi,Basidiomycota,Suillaceae,136
Fungi,Ascomycota,Umbilicariaceae,127
Fungi,Basidiomycota,Paxillaceae,118
Fungi,Basidiomycota,Hydnangiaceae,110
Fungi,Basidiomycota,Dacryobolaceae,105
