kingdom,phylum,family,total_known_species
Plantae,Marchantiophyta,Plagiochilaceae,687
Plantae,Marchantiophyta,Frullaniaceae,618
Plantae,Bryophyta,Brachytheciaceae,610
Plantae,Bryophyta,Sematophyllaceae,573
Plantae,Bryophyta,Fissidentaceae,527
Plantae,Tracheophyta,Thesiaceae,378
Plantae,Bryophyta,Pylaisiadelphaceae,375
Plantae,Tracheophyta,Tectariaceae,359
Plantae,Tracheophyta,Podostemaceae,349
Plantae,Chlorophyta,Chlamydomonadaceae,343
Plantae,Bryophyta,Leucobryaceae,325
Plantae,Bryophyta,Neckeraceae,315
Plantae,Tracheophyta,Calceolariaceae,313
Plantae,Marchantiophyta,Ricciaceae,294
Plantae,Bryophyta,Bartramiaceae,282
Plantae,Tracheophyta,Connaraceae,276
Plantae,Rhodophyta,Delesseriaceae,245
Plantae,Tracheophyta,Putranjivaceae,231
Plantae,Charophyta,Characeae,224
Plantae,Tracheophyta,Dichapetalaceae,219
