kingdom,phylum,top_missing_examples
Fungi,Ascomycota,"Xanthoparmelia (725), Laboulbenia (688), Asteridiella (374), Ocellularia (355), Caloplaca (344)"
Fungi,Basidiomycota,"Entoloma (2,011), Russula (1,476), Inocybe (1,168), Aecidium (930), Lactarius (698)"
Fungi,Blastocladiomycota,"Coelomomyces (61), Blastocladia (30), Allomyces (10), Clavochytridium (10), Urophlyctis (6)"
Fungi,Chytridiomycota,"Synchytrium (232), Chytriomyces (28), Entophlyctis (21), Cladochytrium (21), Rhizidium (19)"
Fungi,Entomophthoromycota,"Conidiobolus (37), Neozygites (20), Neoconidiobolus (14), Capillidium (10), Ancylistes (4)"
Fungi,Glomeromycota,"Glomus (77), Acaulospora (63), Scutellospora (29), Rhizophagus (22), Septoglomus (14)"
Fungi,Mucoromycota,"Stachylina (43), Endogone (29), Orphella (15), Asellaria (9), Harpella (9), Entomortierella (9), Podila (9)"
Fungi,Neocallimastigomycota,"Piromyces (9), Neocallimastix (6), Caecomyces (5), Capellomyces (2), Orpinomyces (2), Piromonas (2)"
Fungi,Sanchytriomycota,"Amoeboradix (1), Sanchytrium (1)"
Fungi,Zoopagomycota,"Piptocephalis (26), Zoopage (11), Amoebophilus (6), Helicocephalum (6), Euryancale (5)"
Fungi,Zygomycota,"Amphoromorpha (1), Schizangiella (1), Halifaxia (1), Lithomucorites (1), Mycozygosporangia (1), Omphalocystis (1), Parallobiopsis (1), Phycomycites (1), Zygosporites (1)"
Plantae,Anthocerotophyta,"Notothylas (27), Folioceros (20), Foraminisporis (9), Saxosporis (7), Phaeomegaceros (7)"
Plantae,Bryophyta,"Fissidens (522), Bryum (333), Macromitrium (302), Campylopus (180), Sematophyllum (175)"
Plantae,Charophyta,"Cosmarium (457), Staurastrum (261), Euastrum (129), Chara (74), Staurastrum (68), Staurodesmus (68)"
Plantae,Chlorophyta,"Chlamydomonas (226), Carteria (41), Desmodesmus (40), Pyramimonas (29), Characium (27), Oocystis (27)"
Plantae,Glaucophyta,"Glaucocystis (3), Cyanophora (1), Gloeochaete (1)"
Plantae,Langiophytophyta,"Tortilicaulis (2), Caia (1), Hostinella (1), Langiophyton (1), Pectinophyton (1), Lyonophyton (1)"
Plantae,Marchantiophyta,"Plagiochila (655), Frullania (615), Lejeunea (419), Riccia (266), Cheilolejeunea (189)"
Plantae,Rhodophyta,"Lithophyllum (119), Lithothamnion (118), Acrochaetium (99), Mesophyllum (61), Peyssonnelia (46)"
Plantae,Tracheophyta,"Cousinia (720), Elatostema (667), Helichrysum (605), Eriocaulon (511), Pitcairnia (452)"
