"feature","coefficient","direction","abs_coef"
"biofuels",-1.74553572651116,"Negative (Irrelevant)",1.74553572651116
"upregulation",-1.74088564891906,"Negative (Irrelevant)",1.74088564891906
"viral",-1.74020296176427,"Negative (Irrelevant)",1.74020296176427
"enriching",-1.73260070345195,"Negative (Irrelevant)",1.73260070345195
"respiratory",-1.7149666912053,"Negative (Irrelevant)",1.7149666912053
"nacl",-1.66166465987608,"Negative (Irrelevant)",1.66166465987608
"methodical",-1.62226880674079,"Negative (Irrelevant)",1.62226880674079
"biocatalysts",-1.56597723455833,"Negative (Irrelevant)",1.56597723455833
"exploration",-1.55358699355331,"Negative (Irrelevant)",1.55358699355331
"bb.fw",-1.50981708937957,"Negative (Irrelevant)",1.50981708937957
"fw",-1.49531417411049,"Negative (Irrelevant)",1.49531417411049
"hresims",-1.48849246597874,"Negative (Irrelevant)",1.48849246597874
"evolutionarily",-1.41093929758205,"Negative (Irrelevant)",1.41093929758205
"uniformity",-1.39367164225551,"Negative (Irrelevant)",1.39367164225551
"fingerprinting",-1.38295453441064,"Negative (Irrelevant)",1.38295453441064
"suspensions",-1.32649805104267,"Negative (Irrelevant)",1.32649805104267
"structurally",-1.31372238092401,"Negative (Irrelevant)",1.31372238092401
"argue",-1.30937931480356,"Negative (Irrelevant)",1.30937931480356
"densely",-1.30359355515841,"Negative (Irrelevant)",1.30359355515841
"afforded",-1.25682423098602,"Negative (Irrelevant)",1.25682423098602
