"feature","coefficient","model"
"biofuels",-1.74553572651116,"Relevance"
"upregulation",-1.74088564891906,"Relevance"
"viral",-1.74020296176427,"Relevance"
"enriching",-1.73260070345195,"Relevance"
"respiratory",-1.7149666912053,"Relevance"
"nacl",-1.66166465987608,"Relevance"
"methodical",-1.62226880674079,"Relevance"
"biocatalysts",-1.56597723455833,"Relevance"
"exploration",-1.55358699355331,"Relevance"
"bb.fw",-1.50981708937957,"Relevance"
"fw",-1.49531417411049,"Relevance"
"hresims",-1.48849246597874,"Relevance"
"evolutionarily",-1.41093929758205,"Relevance"
"uniformity",-1.39367164225551,"Relevance"
"fingerprinting",-1.38295453441064,"Relevance"
"suspensions",-1.32649805104267,"Relevance"
"structurally",-1.31372238092401,"Relevance"
"argue",-1.30937931480356,"Relevance"
"densely",-1.30359355515841,"Relevance"
"afforded",-1.25682423098602,"Relevance"
"nicotiana",-3.43812026370193,"Presence_Absence"
"fungal_establishment",-2.44963612292324,"Presence_Absence"
"orchidaceae",-2.41347021828175,"Presence_Absence"
"genetic_diversity",-2.34370583839374,"Presence_Absence"
"reflect_selective",-2.34143377369055,"Presence_Absence"
"endosymbiosis",-2.32531120245009,"Presence_Absence"
"endophytes_fungal",-2.22893107297035,"Presence_Absence"
"low_water",-2.16809595018226,"Presence_Absence"
"comparative_study",-2.13645481364922,"Presence_Absence"
"species_sampled",-1.98505552161924,"Presence_Absence"
"individual_plant",-1.92384126726484,"Presence_Absence"
"endophytes_endophytes",-1.8622151897787,"Presence_Absence"
"exhibited_fungal",-1.75740006633133,"Presence_Absence"
"exclusion",-1.65900244789023,"Presence_Absence"
"favorable",-1.65770826095759,"Presence_Absence"
"found_fungal",-1.61549771549933,"Presence_Absence"
"salt_tolerance",-1.58745617957168,"Presence_Absence"
"presence_endophytes",-1.57915747534576,"Presence_Absence"
"compartmentalized",-1.5683730092823,"Presence_Absence"
"poaceae",-1.55822258477966,"Presence_Absence"
