id,plant_parts_detected,parts_count,parts_normalized
2,NA,0,NA
3,mycorrhizal; mycorrhiza; root,3,mycorrhizal; mycorrhiza; root
4,inflorescence; tuber,2,inflorescence; tuber
5,leaf; petal; vascular tissue; vascular tissues,4,leaf; petal; vascular tissue; vascular tissues
6,leaf,1,leaf
7,seed; coleoptile; radicle,3,seed; coleoptile; radicle
8,leaf; shoot,2,leaf; shoot
9,mycorrhizal; root,2,mycorrhizal; root
10,root; seed,2,root; seed
11,NA,0,NA
12,seed,1,seed
13,seed,1,seed
15,mycorrhizal; root,2,mycorrhizal; root
16,root; mycorrhizal; mycorrhiza,3,root; mycorrhizal; mycorrhiza
17,root,1,root
18,mycorrhiza; shoot; seed,3,mycorrhiza; shoot; seed
19,twig,1,twig
20,seed; root,2,seed; root
21,NA,0,NA
22,seed,1,seed
23,leaf; stem; intercellular space; epidermis; vascular bundle; phloem; xylem; cortex; mesophyll,9,leaf; stem; intercellular space; epidermis; vascular bundle; phloem; xylem; cortex; mesophyll
24,petiole,1,petiole
25,root,1,root
26,root; leaf; mycorrhizal,3,root; leaf; mycorrhizal
27,mycorrhizal; branch; shoot; root; leaf,5,mycorrhizal; branch; shoot; root; leaf
28,seed; scale,2,seed; scale
29,stem,1,stem
30,leaf,1,leaf
31,NA,0,NA
32,fruit,1,fruit
33,seed; capsule; root; cortex; hypocotyl; radicle,6,seed; capsule; root; cortex; hypocotyl; radicle
34,shoot,1,shoot
35,root,1,root
36,leaf,1,leaf
37,NA,0,NA
38,shoot; lesion,2,shoot; lesion
39,root; stem; leaf,3,root; stem; leaf
41,rhizome; leaf,2,rhizome; leaf
46,seed; callus; root; leaf,4,seed; callus; root; leaf
48,root,1,root
50,root; leaf,2,root; leaf
51,stem; leaf; fruit,3,stem; leaf; fruit
52,NA,0,NA
53,flower,1,flower
54,root,1,root
55,NA,0,NA
56,NA,0,NA
57,NA,0,NA
58,root; stem; leaf; seed; tumor,5,root; stem; leaf; seed; tumor
60,root,1,root
61,cortex,1,cortex
62,NA,0,NA
63,leaf; branch; fruit,3,leaf; branch; fruit
64,leaf,1,leaf
65,NA,0,NA
66,leaf; stem; root,3,leaf; stem; root
67,ray,1,ray
68,NA,0,NA
69,root; scale,2,root; scale
70,root; xylem; phloem; seed; haustorium,5,root; xylem; phloem; seed; haustorium
71,mycorrhizal; root,2,mycorrhizal; root
72,leaf,1,leaf
74,tumor,1,tumor
75,leaf; seed,2,leaf; seed
76,leaf; petiole; twig,3,leaf; petiole; twig
77,NA,0,NA
78,root; stem; leaf,3,root; stem; leaf
79,NA,0,NA
80,root,1,root
81,NA,0,NA
82,leaf; stem; root,3,leaf; stem; root
83,root; stem; leaf,3,root; stem; leaf
84,leaf,1,leaf
85,bark; stem; leaf,3,bark; stem; leaf
86,NA,0,NA
87,mycorrhizal; leaf; root,3,mycorrhizal; leaf; root
88,root,1,root
89,root; leaf,2,root; leaf
90,root; leaf,2,root; leaf
91,NA,0,NA
92,root,1,root
93,NA,0,NA
94,leaf,1,leaf
95,leaf,1,leaf
96,mycorrhizal; root,2,mycorrhizal; root
97,leaf; stem,2,leaf; stem
98,stem; crown; internode; stem internode; stem internodes,5,stem; crown; internode; stem internode; stem internodes
99,seed; root,2,seed; root
100,root; shoot,2,root; shoot
101,leaf; midrib,2,leaf; midrib
103,NA,0,NA
104,NA,0,NA
105,bark; xylem; leaf; stem,4,bark; xylem; leaf; stem
106,mycorrhizal; root,2,mycorrhizal; root
107,mycorrhizal; root; runner; shoot,4,mycorrhizal; root; runner; shoot
109,stem; root,2,stem; root
110,NA,0,NA
111,leaf; stem; root,3,leaf; stem; root
113,ray; anther,2,ray; anther
114,NA,0,NA
115,twig; scale,2,twig; scale
116,bark; wood,2,bark; wood
117,NA,0,NA
118,NA,0,NA
119,leaf; stem; root; cotyledon,4,leaf; stem; root; cotyledon
120,stem; leaf; stem bark; stem barks,4,stem; leaf; stem bark; stem barks
121,stem; fiber; root; leaf; flower,5,stem; fiber; root; leaf; flower
122,phloem,1,phloem
123,NA,0,NA
124,style,1,style
125,leaf,1,leaf
126,NA,0,NA
127,leaf; stem; petiole,3,leaf; stem; petiole
129,NA,0,NA
130,NA,0,NA
131,NA,0,NA
132,root,1,root
133,wood; leaf; stem; petiole; root; flower; fruit,7,wood; leaf; stem; petiole; root; flower; fruit
134,stem; ray,2,stem; ray
135,intercellular space; leaf; stem; seed,4,intercellular space; leaf; stem; seed
136,mycorrhizal; root,2,mycorrhizal; root
137,root; stem; leaf; seed; fruit,5,root; stem; leaf; seed; fruit
139,leaf,1,leaf
140,mycorrhizal; seed; root; anther,4,mycorrhizal; seed; root; anther
141,root; mycorrhiza,2,root; mycorrhiza
142,NA,0,NA
143,root; stem; leaf,3,root; stem; leaf
144,NA,0,NA
145,NA,0,NA
146,NA,0,NA
147,twig; leaf; lamina; midrib,4,twig; leaf; lamina; midrib
148,NA,0,NA
149,mycorrhizal; root,2,mycorrhizal; root
150,root,1,root
151,NA,0,NA
153,NA,0,NA
155,NA,0,NA
156,mycorrhizal; shoot,2,mycorrhizal; shoot
157,seed; tuber,2,seed; tuber
159,rhizome; stem; leaf,3,rhizome; stem; leaf
160,leaf,1,leaf
161,seed; root; leaf,3,seed; root; leaf
162,NA,0,NA
163,NA,0,NA
164,NA,0,NA
165,root,1,root
166,leaf; petiole; root; rhizome,4,leaf; petiole; root; rhizome
167,scale; seed; shoot; root,4,scale; seed; shoot; root
168,root; stem; leaf; tuber,4,root; stem; leaf; tuber
169,root,1,root
170,leaf; stoma; emergence; berry,4,leaf; stoma; emergence; berry
171,seed; canopy,2,seed; canopy
172,NA,0,NA
173,seed,1,seed
174,NA,0,NA
175,bark; xylem,2,bark; xylem
176,ray,1,ray
177,root; stem; leaf,3,root; stem; leaf
178,mycorrhizal; root; root tip; mycorrhizal root,4,mycorrhizal; root; root tip; mycorrhizal root
179,radicle; seed,2,radicle; seed
180,leaf; root,2,leaf; root
181,leaf,1,leaf
182,leaf,1,leaf
183,NA,0,NA
184,root,1,root
185,root; stem; leaf,3,root; stem; leaf
186,stem,1,stem
187,NA,0,NA
188,stem,1,stem
191,NA,0,NA
192,root,1,root
193,proliferation,1,proliferation
195,root; stem,2,root; stem
196,leaf; branch; stem,3,leaf; branch; stem
