period_label,five_year_period,publications,molecular_pct,culture_pct,microscopy_pct,species_detection_pct,unique_species,avg_info_score,high_info_pct,north_pct,south_pct
1925-1929,1925,3,0,33.3,33.3,33.3,1,2.71,85.7,100,0
1930-1934,1930,3,0,66.7,66.7,100,3,2.75,50,0,100
1935-1939,1935,4,0,50,0,75,1,3.55,80,100,0
1940-1944,1940,1,0,100,0,100,1,4,100,100,100
1945-1949,1945,6,0,66.7,16.7,66.7,4,3.31,93.8,100,33.3
1950-1954,1950,15,6.7,66.7,6.7,86.7,8,3.12,83.7,100,0
1955-1959,1955,11,0,63.6,27.3,72.7,2,3.59,94.9,100,20
1960-1964,1960,12,0,75,0,33.3,2,2.68,50,100,0
1965-1969,1965,35,0,57.1,0,48.6,7,3.14,83.1,76.5,23.5
1970-1974,1970,54,7.4,88.9,5.6,59.3,10,3.29,83.6,96.2,15.4
1975-1979,1975,160,1.2,78.1,11.2,52.5,18,3.24,80.3,96.7,11.5
1980-1984,1980,200,3,73.5,17,59,34,3.33,82.9,91,15.7
1985-1989,1985,270,3.3,64.8,21.1,74.1,46,3.35,88.4,86.8,23.7
1990-1994,1990,436,9.4,66.1,27.8,78.2,42,3.51,89.2,88.8,21.3
1995-1999,1995,499,14.4,69.9,21,79.4,64,3.49,89.7,86.8,21.6
2000-2004,2000,749,26.4,74.1,23.5,80.2,83,3.48,89.3,82.8,26.4
2005-2009,2005,1467,28.4,78.1,21.8,83.4,155,3.54,92,79.1,29.2
2010-2014,2010,2807,39.2,81.5,22.9,82.7,217,3.52,92.3,74.3,32.3
2015-2019,2015,4410,42.2,79.6,22.4,83,310,3.51,91.8,76.1,30.1
2020-2024,2020,7005,42.3,78.4,20,83.6,386,3.56,94.1,74.7,30.6
2025-2029,2025,1051,46.9,79.8,19.7,82.4,93,3.54,93.9,76.7,28.8
