id,match_type,user_supplied_name,resolved_name,status,acceptedScientificName,kingdom,phylum,family,genus,predicted_label,canonicalName,canonicalName_lower
2,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,species,arrhenatherum elatius,Arrhenatherum elatius,ACCEPTED,Arrhenatherum elatius,Plantae,Tracheophyta,Poaceae,Arrhenatherum,Presence,NA,NA
3,genus,NA,Arrhenatherum,ACCEPTED,Arrhenatherum,Plantae,Tracheophyta,Poaceae,NA,Presence,Arrhenatherum,arrhenatherum
4,species,cyperus rotundus,Cyperus rotundus,ACCEPTED,Cyperus rotundus,Plantae,Tracheophyta,Cyperaceae,Cyperus,Presence,NA,NA
4,genus,NA,Cyperus,ACCEPTED,Cyperus,Plantae,Tracheophyta,Cyperaceae,NA,Presence,Cyperus,cyperus
4,family,NA,Clavicipitaceae,ACCEPTED,Clavicipitaceae,Fungi,Ascomycota,NA,NA,Presence,Clavicipitaceae,clavicipitaceae
5,species,enhalus acoroides,Enhalus acoroides,ACCEPTED,Enhalus acoroides,Plantae,Tracheophyta,Hydrocharitaceae,Enhalus,Presence,NA,NA
5,species,thalassia hemprichii,Thalassia hemprichii,ACCEPTED,Thalassia hemprichii,Plantae,Tracheophyta,Hydrocharitaceae,Thalassia,Presence,NA,NA
5,species,aspergillus ochraceopetaliformis,Aspergillus ochraceopetaliformis,ACCEPTED,Aspergillus ochraceopetaliformis,Fungi,Ascomycota,Aspergillaceae,Aspergillus,Presence,NA,NA
5,species,penicillium citrinum,Penicillium citrinum,ACCEPTED,Penicillium citrinum,Fungi,Ascomycota,Aspergillaceae,Penicillium,Presence,NA,NA
5,genus,NA,Enhalus,ACCEPTED,Enhalus,Plantae,Tracheophyta,Hydrocharitaceae,NA,Presence,Enhalus,enhalus
5,genus,NA,Thalassia,ACCEPTED,Thalassia,Plantae,Tracheophyta,Hydrocharitaceae,NA,Presence,Thalassia,thalassia
5,genus,NA,Penicillium,ACCEPTED,Penicillium,Fungi,Ascomycota,Aspergillaceae,NA,Presence,Penicillium,penicillium
5,genus,NA,Aspergillus,ACCEPTED,Aspergillus,Fungi,Ascomycota,Aspergillaceae,NA,Presence,Aspergillus,aspergillus
5,genus,NA,Aspergillus,ACCEPTED,Aspergillus,Fungi,Ascomycota,Trichocomaceae,NA,Presence,Aspergillus,aspergillus
5,genus,NA,Cymodocea,ACCEPTED,Cymodocea,Plantae,Tracheophyta,Cymodoceaceae,NA,Presence,Cymodocea,cymodocea
6,species,lolium perenne,Lolium perenne,ACCEPTED,Lolium perenne,Plantae,Tracheophyta,Poaceae,Lolium,Presence,NA,NA
6,genus,NA,Lolium,ACCEPTED,Lolium,Plantae,Tracheophyta,Poaceae,NA,Presence,Lolium,lolium
7,species,hordeum brevisubulatum,Hordeum brevisubulatum,ACCEPTED,Hordeum brevisubulatum,Plantae,Tracheophyta,Poaceae,Hordeum,Presence,NA,NA
7,species,achnatherum inebrians,Achnatherum inebrians,ACCEPTED,Achnatherum inebrians,Plantae,Tracheophyta,Poaceae,Achnatherum,Presence,NA,NA
7,species,elymus sibiricus,Elymus sibiricus,ACCEPTED,Elymus sibiricus,Plantae,Tracheophyta,Poaceae,Elymus,Presence,NA,NA
7,species,alternaria alternata,Alternaria alternata,ACCEPTED,Alternaria alternata,Fungi,Ascomycota,Pleosporaceae,Alternaria,Presence,NA,NA
7,species,bipolaris sorokiniana,Bipolaris sorokiniana,ACCEPTED,Bipolaris sorokiniana,Fungi,Ascomycota,Pleosporaceae,Bipolaris,Presence,NA,NA
7,species,fusarium avenaceum,Fusarium avenaceum,ACCEPTED,Fusarium avenaceum,Fungi,Ascomycota,Nectriaceae,Fusarium,Presence,NA,NA
7,genus,NA,Elymus,ACCEPTED,Elymus,Plantae,Tracheophyta,Poaceae,NA,Presence,Elymus,elymus
7,genus,NA,Hordeum,ACCEPTED,Hordeum,Plantae,Tracheophyta,Poaceae,NA,Presence,Hordeum,hordeum
