user_supplied_name,user_supplied_name_lower,taxonID,datasetID,parentNameUsageID,acceptedNameUsageID,originalNameUsageID,scientificName,scientificNameAuthorship,canonicalName,genericName,specificEpithet,infraspecificEpithet,taxonRank,nameAccordingTo,namePublishedIn,taxonomicStatus,nomenclaturalStatus,taxonRemarks,kingdom,phylum,class,order,family,genus,canonicalName_lower,resolved_name,status,acceptedScientificName,id,predicted_label,match_type,fruit,fruits,root,roots,leaf,leaves,stem,stems,flower,flowers,seed,seeds,bark,branch,branches,twig,twigs,shoot,shoots,bud,buds,trunk,trunks,pistil,pistils,anther,anthers,carpel,carpels,sepal,sepals,petal,petals,stigma,stigmas,style,styles,ovary,ovaries,ovule,ovules,calyx,calyces,corolla,corollas,pollen,inflorescence,inflorescences,floret,florets,rhizome,rhizomes,tuber,tubers,bulb,bulbs,corm,corms,tendril,tendrils,thorn,thorns,cone,cones,needle,needles
betula pubescens,betula pubescens,9118014,7ddf754f-d193-4cc9-b351-99906754a03b,2875008,NA,NA,Betula pubescens Ehrh.,Ehrh.,Betula pubescens,Betula,pubescens,NA,species,NA,Beitr. Naturk. Verw. Wiss. 6: 98 (1791),accepted,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,betula pubescens,Betula pubescens,ACCEPTED,Betula pubescens,4549,Presence,species,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fusarium lacertarum,fusarium lacertarum,5485236,7ddf754f-d193-4cc9-b351-99906754a03b,2554026,NA,NA,Fusarium lacertarum Subrahm.,Subrahm.,Fusarium lacertarum,Fusarium,lacertarum,NA,species,NA,(1983). Mykosen 26(9): 478.,accepted,NA,NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,fusarium lacertarum,Fusarium lacertarum,ACCEPTED,Fusarium lacertarum,4549,Presence,species,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusarium lacertarum,fusarium lacertarum,5485236,7ddf754f-d193-4cc9-b351-99906754a03b,2554026,NA,NA,Fusarium lacertarum Subrahm.,Subrahm.,Fusarium lacertarum,Fusarium,lacertarum,NA,species,NA,(1983). Mykosen 26(9): 478.,accepted,NA,NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,fusarium lacertarum,Fusarium lacertarum,ACCEPTED,Fusarium lacertarum,4549,Presence,species,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Fusarium,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fungi,Ascomycota,NA,NA,Nectriaceae,NA,fusarium,Fusarium,ACCEPTED,Fusarium,4549,Presence,genus,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Fusarium,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fungi,Ascomycota,NA,NA,Dermateaceae,NA,fusarium,Fusarium,ACCEPTED,Fusarium,4549,Presence,genus,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Betula,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,NA,NA,Betulaceae,NA,betula,Betula,ACCEPTED,Betula,4549,Presence,genus,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO_MATCH,NA,5999,Presence,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO_MATCH,NA,6735,Presence,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rubia podantha,rubia podantha,2892344,7ddf754f-d193-4cc9-b351-99906754a03b,2892184,NA,NA,Rubia podantha Diels,Diels,Rubia podantha,Rubia,podantha,NA,species,NA,Notes Roy. Bot. Gard. Edinburgh 5: 277 (1912),accepted,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Rubia,rubia podantha,Rubia podantha,ACCEPTED,Rubia podantha,10836,Presence,species,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,Rubia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,NA,NA,Rubiaceae,NA,rubia,Rubia,ACCEPTED,Rubia,10836,Presence,genus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
