canonicalName,canonicalName_lower,kingdom,phylum,family,id,match_type,status,resolved_name,acceptedScientificName,fruit,fruits,root,roots,leaf,leaves,stem,stems,flower,flowers,seed,seeds,bark,branch,branches,twig,twigs,shoot,shoots,bud,buds,trunk,trunks,pistil,pistils,anther,anthers,carpel,carpels,sepal,sepals,petal,petals,stigma,stigmas,style,styles,ovary,ovaries,ovule,ovules,calyx,calyces,corolla,corollas,pollen,inflorescence,inflorescences,floret,florets,rhizome,rhizomes,tuber,tubers,bulb,bulbs,corm,corms,tendril,tendrils,thorn,thorns,cone,cones,needle,needles,user_supplied_name,user_supplied_name_lower,taxonID,kingdom.x,phylum.x,family.x,genus.x,synonymName,acceptedName,kingdom.y,phylum.y,family.y,genus.y,genus
Assay,assay,Plantae,Tracheophyta,Poaceae,2726,genus,ACCEPTED,Assay,Assay,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alternaria,alternaria,Fungi,Ascomycota,Pleosporaceae,2726,genus,ACCEPTED,Alternaria,Alternaria,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epichloe typhina,NA,NA,NA,NA,3243,species,ACCEPTED,Epichloe typhina,Epichloe typhina,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epichloe typhina,epichloe typhina,10814921,Fungi,Ascomycota,Clavicipitaceae,Epichloe,NA,NA,Fungi,Ascomycota,Clavicipitaceae,Epichloe,NA
Dactylis glomerata,NA,NA,NA,NA,3243,species,ACCEPTED,Dactylis glomerata,Dactylis glomerata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dactylis glomerata,dactylis glomerata,2705308,Plantae,Tracheophyta,Poaceae,Dactylis,NA,NA,Plantae,Tracheophyta,Poaceae,Dactylis,NA
Dactylis,dactylis,Plantae,Tracheophyta,Poaceae,3243,genus,ACCEPTED,Dactylis,Dactylis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epichloe,epichloe,Fungi,Ascomycota,Clavicipitaceae,3243,genus,ACCEPTED,Epichloe,Epichloe,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Huperzia serrata,NA,NA,NA,NA,4230,species,ACCEPTED,Huperzia serrata,Huperzia serrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,huperzia serrata,huperzia serrata,2688470,Plantae,Tracheophyta,Lycopodiaceae,Huperzia,NA,NA,Plantae,Tracheophyta,Lycopodiaceae,Huperzia,NA
Colletotrichum gloeosporioides,NA,NA,NA,NA,4230,species,ACCEPTED,Colletotrichum gloeosporioides,Colletotrichum gloeosporioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colletotrichum gloeosporioides,colletotrichum gloeosporioides,2569005,Fungi,Ascomycota,Glomerellaceae,Colletotrichum,NA,NA,Fungi,Ascomycota,Glomerellaceae,Colletotrichum,NA
Colletotrichum,colletotrichum,Fungi,Ascomycota,Glomerellaceae,4230,genus,ACCEPTED,Colletotrichum,Colletotrichum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colletotrichum,colletotrichum,Fungi,Ascomycota,Dermateaceae,4230,genus,ACCEPTED,Colletotrichum,Colletotrichum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
